# {"t_start": 1539259419.4601543, "env_id": "CartPole-v0"} 
r,l,t
95.0,95,8.922702
44.0,44,8.941822
43.0,43,8.961675
25.0,25,8.972718
20.0,20,8.981404
46.0,46,9.001312
39.0,39,9.018074
67.0,67,9.04666
87.0,87,9.085073
94.0,94,9.123533
76.0,76,9.154422
72.0,72,9.185012
46.0,46,9.204614
12.0,12,9.20996
93.0,93,9.248786
28.0,28,9.260674
30.0,30,9.276464
60.0,60,9.310476
66.0,66,9.449489
53.0,53,9.476002
57.0,57,9.504681
18.0,18,9.514127
79.0,79,9.553748
11.0,11,9.558318
58.0,58,9.581284
35.0,35,9.595275
29.0,29,9.60684
53.0,53,9.627799
24.0,24,9.637403
91.0,91,9.674721
53.0,53,9.695418
28.0,28,9.706612
42.0,42,9.723237
34.0,34,9.736695
46.0,46,9.754919
56.0,56,9.777108
80.0,80,9.808749
87.0,87,9.843533
20.0,20,9.851269
57.0,57,9.963577
59.0,59,9.991862
146.0,146,10.065888
31.0,31,10.08167
10.0,10,10.086867
13.0,13,10.093347
21.0,21,10.102462
44.0,44,10.12398
48.0,48,10.143268
156.0,156,10.208355
25.0,25,10.221223
39.0,39,10.241323
86.0,86,10.284426
23.0,23,10.296052
68.0,68,10.330394
59.0,59,10.361983
101.0,101,10.401164
68.0,68,10.427598
45.0,45,10.529782
17.0,17,10.536799
60.0,60,10.560189
200.0,200,10.636931
120.0,120,10.688359
19.0,19,10.696493
42.0,42,10.714068
51.0,51,10.735611
141.0,141,10.794382
33.0,33,10.81115
16.0,16,10.819623
115.0,115,10.87839
59.0,59,10.908216
42.0,42,10.929672
141.0,141,11.098845
109.0,109,11.151823
77.0,77,11.18078
70.0,70,11.211082
48.0,48,11.230167
13.0,13,11.235821
111.0,111,11.281683
51.0,51,11.30174
12.0,12,11.306518
14.0,14,11.311801
41.0,41,11.327113
57.0,57,11.348575
76.0,76,11.376542
119.0,119,11.420386
22.0,22,11.42866
109.0,109,11.472186
98.0,98,11.593732
59.0,59,11.616969
62.0,62,11.641328
95.0,95,11.684743
60.0,60,11.715372
74.0,74,11.753452
171.0,171,11.840826
65.0,65,11.873429
104.0,104,11.926357
55.0,55,11.951968
15.0,15,11.95907
49.0,49,11.978722
62.0,62,12.001701
69.0,69,12.027195
39.0,39,12.120983
23.0,23,12.130931
41.0,41,12.147126
200.0,200,12.222195
44.0,44,12.238866
200.0,200,12.327622
62.0,62,12.353079
200.0,200,12.449682
19.0,19,12.459349
36.0,36,12.477337
11.0,11,12.483192
80.0,80,12.520908
54.0,54,12.5458
127.0,127,12.702817
121.0,121,12.754609
134.0,134,12.810256
147.0,147,12.865913
117.0,117,12.911186
200.0,200,12.986198
16.0,16,12.992742
132.0,132,13.043634
22.0,22,13.052745
18.0,18,13.05997
42.0,42,13.161889
75.0,75,13.191942
78.0,78,13.232037
148.0,148,13.309315
21.0,21,13.319746
200.0,200,13.410144
200.0,200,13.50886
159.0,159,13.578969
72.0,72,13.615394
68.0,68,13.727695
200.0,200,13.808584
200.0,200,13.892113
200.0,200,13.974806
200.0,200,14.063425
200.0,200,14.163585
100.0,100,14.315347
119.0,119,14.374754
63.0,63,14.410505
200.0,200,14.486707
122.0,122,14.536364
75.0,75,14.565974
43.0,43,14.5883
67.0,67,14.618682
165.0,165,14.683695
153.0,153,14.830814
67.0,67,14.860474
62.0,62,14.888544
58.0,58,14.914436
92.0,92,14.95692
16.0,16,14.965244
200.0,200,15.067307
90.0,90,15.109055
92.0,92,15.151479
93.0,93,15.190682
181.0,181,15.359348
134.0,134,15.414279
165.0,165,15.480219
77.0,77,15.509707
102.0,102,15.553858
127.0,127,15.60411
180.0,180,15.684639
38.0,38,15.702007
69.0,69,15.732751
147.0,147,15.905605
70.0,70,15.940514
200.0,200,16.021731
147.0,147,16.078688
162.0,162,16.154683
105.0,105,16.193856
77.0,77,16.222708
126.0,126,16.271643
82.0,82,16.307141
200.0,200,16.487635
48.0,48,16.506948
65.0,65,16.532732
200.0,200,16.61764
200.0,200,16.718987
160.0,160,16.789752
174.0,174,16.856714
74.0,74,16.973276
200.0,200,17.047136
61.0,61,17.071753
47.0,47,17.089828
58.0,58,17.113263
195.0,195,17.190917
37.0,37,17.205601
135.0,135,17.259342
61.0,61,17.283447
154.0,154,17.356583
200.0,200,17.561931
200.0,200,17.656714
44.0,44,17.673559
200.0,200,17.751343
120.0,120,17.797968
200.0,200,17.882574
139.0,139,18.027519
88.0,88,18.071342
65.0,65,18.101588
200.0,200,18.203661
200.0,200,18.306401
200.0,200,18.392586
200.0,200,18.467857
130.0,130,18.611148
200.0,200,18.690197
200.0,200,18.770328
130.0,130,18.821246
197.0,197,18.901888
200.0,200,19.094938
200.0,200,19.204219
123.0,123,19.27183
111.0,111,19.332221
200.0,200,19.431387
200.0,200,19.519524
