fps,nupdates,explained_variance,policy_entropy,total_timesteps,value_loss
1077,10100,-1.531268835067749,0.683392345905304,50500,0.014215787872672081
1078,10200,-0.2749887704849243,0.6924878358840942,51000,0.043146856129169464
1079,10300,0.06669336557388306,0.6681205630302429,51500,1722.2564697265625
1079,10400,-14.211533546447754,0.6847894787788391,52000,0.036616429686546326
1080,10500,0.0351564884185791,0.6872327923774719,52500,5223.97998046875
1080,10600,-0.05991840362548828,0.6786423921585083,53000,8425.84375
1081,10700,0.04824018478393555,0.672022819519043,53500,6847.390625
1080,10800,0.0008774995803833008,0.6926423907279968,54000,7227.92822265625
1081,10900,-209.49411010742188,0.6758415102958679,54500,0.46177029609680176
1081,11000,-15.829975128173828,0.6864874958992004,55000,1.5219674110412598
1081,11100,-1.3587005138397217,0.692047119140625,55500,0.04098134487867355
1081,11200,-243.3166961669922,0.589966893196106,56000,8.373738288879395
1081,11300,-7.523032188415527,0.6860262751579285,56500,0.020092720165848732
1081,11400,-219.38510131835938,0.626197099685669,57000,3.8783154487609863
1081,11500,-6.549783706665039,0.6920464038848877,57500,0.030089858919382095
1081,11600,-16.099151611328125,0.6925749182701111,58000,0.05637628957629204
1081,11700,-26.40189552307129,0.6764633655548096,58500,0.08717872202396393
1082,11800,-14.649011611938477,0.6859331130981445,59000,0.03129654377698898
1082,11900,-3.210803985595703,0.6926334500312805,59500,1.2011919021606445
1082,12000,0.006825268268585205,0.6919921636581421,60000,5362.443359375
