EpThisIter,EpRewMean,ev_tdlam_before,EpisodesSoFar,entloss,entropy,surrgain,optimgain,TimestepsSoFar,TimeElapsed,EpLenMean,meankl
6,192.45,-0.21666181087493896,527,0.0,0.6026732,0.004682199,0.004682199,34652,18.496870517730713,192.45,0.0007694415
6,191.1,-0.0023730993270874023,533,0.0,0.61013854,0.005485545,0.005485545,35798,19.012489080429077,191.1,0.0008697253
5,191.275,0.056059837341308594,538,0.0,0.59180045,0.0056032613,0.0056032613,36696,19.497949838638306,191.275,0.0008432256
6,188.7,0.023661017417907715,544,0.0,0.60271084,0.007370554,0.007370554,37784,20.048325538635254,188.7,0.0006524507
6,186.875,-0.08273863792419434,550,0.0,0.5754688,0.009131414,0.009131414,38911,20.584430932998657,186.875,0.0008577537
6,180.775,0.01835530996322632,556,0.0,0.56919026,0.008099057,0.008099057,39859,21.08812642097473,180.775,0.0008530454
5,179.975,0.035119473934173584,561,0.0,0.56656516,0.005322178,0.005322178,40827,21.65008306503296,179.975,0.0009793818
5,183.375,0.02788519859313965,566,0.0,0.5974028,0.0054580877,0.0054580877,41827,22.16183638572693,183.375,0.0005433299
6,180.125,8.100271224975586e-05,572,0.0,0.59117234,0.0053193048,0.0053193048,42857,22.660435676574707,180.125,0.00075452146
5,184.025,0.1360430121421814,577,0.0,0.5879161,0.008932028,0.008932028,43857,23.221689224243164,184.025,0.00067362364
5,184.375,0.07129210233688354,582,0.0,0.5757484,0.0043283775,0.0043283775,44857,23.749374389648438,184.375,0.00087563146
6,188.65,0.032829880714416504,588,0.0,0.584584,0.0045959307,0.0045959307,46057,24.295043230056763,188.65,0.00085206574
5,194.85,0.03475594520568848,593,0.0,0.58903843,0.0044045122,0.0044045122,47057,24.885913610458374,194.85,0.00074988964
5,195.65,0.08057147264480591,598,0.0,0.5778983,0.004231897,0.004231897,48057,25.452108144760132,195.65,0.00054913474
5,195.75,-0.07026684284210205,603,0.0,0.5948823,0.0033907695,0.0033907695,49057,25.99008011817932,195.75,0.00083085673
5,195.825,0.10551828145980835,608,0.0,0.5747405,0.004303678,0.004303678,50057,26.52752995491028,195.825,0.0008307571
5,200.0,0.07206517457962036,613,0.0,0.58625853,0.0062328577,0.0062328577,51057,27.08167052268982,200.0,0.000809025
5,199.775,-0.040259361267089844,618,0.0,0.5766376,0.0064025577,0.0064025577,52048,27.591542720794678,199.775,0.0007377408
