entloss,EpLenMean,meankl,EpThisIter,optimgain,entropy,TimestepsSoFar,EpRewMean,TimeElapsed,surrgain,EpisodesSoFar,ev_tdlam_before
0.0,193.4,0.00093320885,6,0.0032007275,0.5834541,71665,193.4,37.53960943222046,0.0032007275,635,5.543231964111328e-06
0.0,189.5,0.0009278244,6,0.0062639033,0.5744325,72559,189.5,38.063762187957764,0.0062639033,641,-4.887580871582031e-06
0.0,185.2,0.00080325396,6,0.005827156,0.57784903,73534,185.2,38.60188364982605,0.005827156,647,4.649162292480469e-06
0.0,183.825,0.00081999635,6,0.0042682937,0.5762234,74679,183.825,39.12924575805664,0.0042682937,653,-3.0994415283203125e-06
0.0,183.825,0.0009664306,5,0.0046329116,0.5736195,75679,183.825,39.6477165222168,0.0046329116,658,1.8596649169921875e-05
0.0,183.825,0.00090998586,5,0.0034704055,0.5794189,76679,183.825,40.17041325569153,0.0034704055,663,2.980232238769531e-07
0.0,182.925,0.0007042083,6,0.0045242407,0.565796,77813,182.925,40.679826974868774,0.0045242407,669,1.7583370208740234e-05
0.0,181.875,0.0008259156,5,0.00513489,0.56734586,78740,181.875,41.20431399345398,0.00513489,674,4.2557716369628906e-05
0.0,186.875,0.00087584165,5,0.0038087089,0.57376754,79699,186.875,41.747851848602295,0.0038087089,679,2.4139881134033203e-05
0.0,187.65,0.0008708273,7,0.0039660325,0.56835747,80840,187.65,42.25994634628296,0.0039660325,686,2.562999725341797e-06
0.0,187.65,0.0008755575,5,0.0045290054,0.561995,81840,187.65,42.796897411346436,0.0045290054,691,1.0311603546142578e-05
0.0,188.65,0.00066808576,5,0.0053672204,0.56078637,82825,188.65,43.33337330818176,0.0053672204,696,5.066394805908203e-06
0.0,188.65,0.00086443627,5,0.0025327671,0.5618835,83825,188.65,43.84416675567627,0.0025327671,701,1.9669532775878906e-06
0.0,187.025,0.0007736833,6,0.0038216023,0.56058294,84894,187.025,44.339662075042725,0.0038216023,707,-3.4570693969726562e-06
0.0,188.85,0.00068323355,5,0.002458603,0.5421444,85894,188.85,44.89085936546326,0.002458603,712,6.556510925292969e-07
0.0,188.85,0.0010106564,5,0.004404638,0.5638634,86894,188.85,45.39980220794678,0.004404638,717,-6.4373016357421875e-06
0.0,192.55,0.0008248135,5,0.005688117,0.5502906,87894,192.55,45.95430541038513,0.005688117,722,1.430511474609375e-06
0.0,196.35,0.0009552386,5,0.0031009086,0.57102525,88894,196.35,46.48422431945801,0.0031009086,727,0.0
0.0,189.15,0.00058234873,7,0.0041502854,0.5520411,90006,189.15,46.97587847709656,0.0041502854,734,1.4960765838623047e-05
0.0,185.65,0.0007530686,6,0.0057575214,0.5603956,91051,185.65,47.51449537277222,0.0057575214,740,2.5391578674316406e-05
0.0,186.825,0.00063641963,5,0.0047244243,0.54965615,91967,186.825,48.04110360145569,0.0047244243,745,5.125999450683594e-06
0.0,186.225,0.0006057543,6,0.004302334,0.5514481,93143,186.225,48.569854736328125,0.004302334,751,4.76837158203125e-06
0.0,186.225,0.0008703095,5,0.0030713144,0.5611177,94143,186.225,49.1202917098999,0.0030713144,756,-1.1920928955078125e-07
0.0,186.225,0.00079696404,5,0.00566884,0.54562205,95143,186.225,49.659037590026855,0.00566884,761,3.6954879760742188e-06
0.0,186.225,0.00050246844,5,0.0019118898,0.5553078,96143,186.225,50.15919589996338,0.0019118898,766,1.0728836059570312e-06
0.0,184.35,0.00068134593,6,0.002488337,0.5548289,97204,184.35,50.691646337509155,0.002488337,772,8.106231689453125e-06
0.0,191.925,0.0007851487,5,0.002857389,0.5602298,98204,191.925,51.21524095535278,0.002857389,777,4.76837158203125e-07
0.0,194.475,0.00081412744,5,0.0047934325,0.57242566,99204,194.475,51.720580101013184,0.0047934325,782,9.655952453613281e-06
0.0,195.925,0.000620101,5,0.0034005595,0.5719516,100204,195.925,52.26141667366028,0.0034005595,787,-2.6226043701171875e-06
