TimeElapsed,surrgain,EpThisIter,TimestepsSoFar,meankl,entropy,EpisodesSoFar,optimgain,ev_tdlam_before,EpRewMean,entloss,EpLenMean
40.5773708820343,0.005640381,6,75614,0.00061795744,0.58121264,661,0.005640381,0.013548672199249268,185.325,0.0,185.325
41.10728216171265,0.006603596,6,76794,0.00069132174,0.5801714,667,0.006603596,-0.0132904052734375,187.125,0.0,187.125
41.60187602043152,0.005199866,5,77794,0.00072284375,0.58160615,672,0.005199866,0.015664875507354736,187.65,0.0,187.65
42.107892990112305,0.005425324,5,78719,0.00069819327,0.5841228,677,0.005425324,-0.000786900520324707,186.925,0.0,186.925
42.59059238433838,0.0038474347,5,79719,0.0008467695,0.5874622,682,0.0038474347,-0.0005170106887817383,188.75,0.0,188.75
43.08738565444946,0.004625447,6,80795,0.00079978135,0.5746064,688,0.004625447,-0.004018068313598633,188.075,0.0,188.075
43.59853792190552,0.005250251,6,81837,0.00076992647,0.5741514,694,0.005250251,-0.006132364273071289,185.15,0.0,185.15
44.14252233505249,0.004561746,6,82829,0.0007522692,0.5611439,700,0.004561746,0.010603725910186768,185.375,0.0,185.375
44.68098258972168,0.0039608367,5,83827,0.0005746186,0.5765009,705,0.0039608367,-0.009665966033935547,185.825,0.0,185.825
45.24285817146301,0.0049728253,5,84793,0.00070823875,0.5733757,710,0.0049728253,0.022093772888183594,184.975,0.0,184.975
45.83375072479248,0.0050314,6,85893,0.00078304583,0.5879642,716,0.0050314,-0.018523216247558594,184.35,0.0,184.35
46.35101914405823,0.005762767,6,86986,0.00081238616,0.57645285,722,0.005762767,-0.002089858055114746,181.675,0.0,181.675
46.88473415374756,0.005504937,5,87986,0.00077838544,0.5755398,727,0.005504937,-0.0073168277740478516,184.775,0.0,184.775
47.4821674823761,0.004594265,5,88940,0.0007160059,0.5780536,732,0.004594265,-0.00939643383026123,184.85,0.0,184.85
48.055145025253296,0.0066761784,5,89940,0.0010060761,0.5890517,737,0.0066761784,-0.00945901870727539,187.575,0.0,187.575
