meankl,EpisodesSoFar,entloss,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,ev_tdlam_before,surrgain,EpLenMean,entropy,TimeElapsed
0.00095804554,697,0.0,5,79728,0.004126601,195.675,0.19558846950531006,0.004126601,195.675,0.57928807,43.291778326034546
0.0008033474,702,0.0,5,80728,0.004193819,195.675,0.30748605728149414,0.004193819,195.675,0.5713531,43.82387661933899
0.00072123087,707,0.0,5,81728,0.005199218,195.675,0.15013223886489868,0.005199218,195.675,0.5888842,44.37496781349182
0.0007345174,713,0.0,6,82928,0.0071787788,196.575,0.22649914026260376,0.0071787788,196.575,0.58176684,44.96236610412598
0.0008746472,718,0.0,5,83928,0.005525832,196.575,0.2001062035560608,0.005525832,196.575,0.56667256,45.48040413856506
0.00073816016,723,0.0,5,84896,0.0049599875,195.775,0.10508120059967041,0.0049599875,195.775,0.57932127,46.02726745605469
0.0010135245,728,0.0,5,85896,0.0061100367,199.2,0.08561575412750244,0.0061100367,199.2,0.5777291,46.62015175819397
0.00053717976,734,0.0,6,86969,0.0044925027,196.025,0.10947787761688232,0.0044925027,196.025,0.564794,47.17303538322449
0.0007256931,739,0.0,5,87969,0.004210635,196.025,-0.0895611047744751,0.004210635,196.025,0.56683624,47.68469977378845
0.0005413606,744,0.0,5,88937,0.01184302,195.225,0.15723031759262085,0.01184302,195.225,0.56977594,48.280187368392944
0.00079407665,749,0.0,5,89937,0.0037753824,195.225,0.06633162498474121,0.0037753824,195.225,0.5723619,48.78941988945007
0.000623385,754,0.0,5,90937,0.0051229913,195.225,0.06791579723358154,0.0051229913,195.225,0.57184494,49.318217754364014
0.00069740927,760,0.0,6,92137,0.004848878,196.025,0.15186983346939087,0.004848878,196.025,0.5643349,49.89337515830994
0.00073198404,765,0.0,5,93137,0.005325578,196.025,0.12163662910461426,0.005325578,196.025,0.57026887,50.46881031990051
0.00081480516,770,0.0,5,94137,0.0058521125,199.2,0.1763191819190979,0.0058521125,199.2,0.56239206,50.99054741859436
0.0009395662,775,0.0,5,95137,0.0051442618,199.2,-0.18865728378295898,0.0051442618,199.2,0.53341603,51.530166149139404
0.00065845775,780,0.0,5,96137,0.004002478,200.0,0.05353236198425293,0.004002478,200.0,0.5604277,52.04359984397888
0.00073649455,785,0.0,5,97137,0.0049508354,200.0,0.13321536779403687,0.0049508354,200.0,0.57978463,52.557289838790894
0.00044480688,790,0.0,5,98137,0.005998471,200.0,0.036855101585388184,0.005998471,200.0,0.5637866,53.16460466384888
0.00094043673,795,0.0,5,99137,0.0052099926,200.0,0.027366936206817627,0.0052099926,200.0,0.5626954,53.713396072387695
0.0007728521,801,0.0,6,100337,0.0050383834,200.0,0.07276743650436401,0.0050383834,200.0,0.57923055,54.267249584198
