ev_tdlam_before,entloss,meankl,surrgain,optimgain,TimeElapsed,EpisodesSoFar,EpLenMean,entropy,EpRewMean,TimestepsSoFar,EpThisIter
0.17008572816848755,0.0,0.0004491394,0.0031276683,0.0031276683,40.09709596633911,646,187.275,0.55968237,187.275,72611,5
0.30127227306365967,0.0,0.00067242625,0.0043736557,0.0043736557,40.663002490997314,651,187.275,0.5706812,187.275,73611,5
0.27902311086654663,0.0,0.0009084189,0.0044148127,0.0044148127,41.24855613708496,656,187.325,0.57679355,187.325,74611,5
0.5359569489955902,0.0,0.000836588,0.0062085195,0.0062085195,41.81596112251282,661,189.85,0.5750176,189.85,75583,5
0.5008031725883484,0.0,0.0008312615,0.0035967054,0.0035967054,42.363890409469604,667,196.075,0.5704092,196.075,76783,6
0.4955981969833374,0.0,0.00070490653,0.0043327333,0.0043327333,42.866434812545776,672,196.075,0.5776853,196.075,77783,5
0.6255324184894562,0.0,0.0007378799,0.005844107,0.005844107,43.35806059837341,677,199.3,0.56992483,199.3,78783,5
0.7549373954534531,0.0,0.00064969395,0.0032392638,0.0032392638,43.845027685165405,682,199.3,0.581306,199.3,79783,5
0.5673208832740784,0.0,0.0009054183,0.0043849964,0.0043849964,44.35333299636841,687,199.3,0.5727101,199.3,80783,5
0.41177141666412354,0.0,0.0007699699,0.0034015975,0.0034015975,44.92020344734192,692,199.3,0.5976722,199.3,81783,5
0.467735230922699,0.0,0.00069594546,0.0047502345,0.0047502345,45.440805196762085,698,195.425,0.5678714,195.425,82828,6
0.8398033827543259,0.0,0.000897918,0.003647847,0.003647847,46.011035442352295,703,196.125,0.5678202,196.125,83828,5
0.7616176307201385,0.0,0.0007322093,0.0025242039,0.0025242039,46.57149910926819,708,196.125,0.58978146,196.125,84828,5
0.7129356861114502,0.0,0.0006828471,0.0026108488,0.0026108488,47.092626333236694,713,196.125,0.5910541,196.125,85828,5
0.5548550188541412,0.0,0.0007359427,0.0027876534,0.0027876534,47.63130736351013,719,196.125,0.572077,196.125,87028,6
0.501950204372406,0.0,0.0009077112,0.005628273,0.005628273,48.189419746398926,724,196.125,0.5616077,196.125,88028,5
0.6548992395401001,0.0,0.0011024673,0.0061414186,0.0061414186,48.72083067893982,729,196.125,0.564303,196.125,89028,5
0.6622256934642792,0.0,0.00068866136,0.0034780381,0.0034780381,49.23435640335083,734,196.125,0.6064536,196.125,90028,5
0.6880474090576172,0.0,0.00053378544,0.005254542,0.005254542,49.81041884422302,739,198.275,0.5717945,198.275,90959,5
0.5790320932865143,0.0,0.00068947946,0.0028183914,0.0028183914,50.32643675804138,745,198.1,0.57092935,198.1,92152,6
0.7495878040790558,0.0,0.00074986706,0.0054620644,0.0054620644,50.94550132751465,750,198.1,0.57425135,198.1,93152,5
0.7793831825256348,0.0,0.000603296,0.0030847054,0.0030847054,51.47506356239319,755,198.1,0.5856465,198.1,94152,5
0.469845175743103,0.0,0.00076258567,0.0045323055,0.0045323055,52.008071422576904,760,198.1,0.5747136,198.1,95152,5
0.7381137013435364,0.0,0.0009350946,0.0041986792,0.0041986792,52.52491307258606,765,198.1,0.6012434,198.1,96152,5
0.4390553832054138,0.0,0.00084796746,0.0041879998,0.0041879998,53.09602761268616,770,198.1,0.58600855,198.1,97152,5
0.6308790445327759,0.0,0.00083545153,0.0038385706,0.0038385706,53.64568591117859,775,198.1,0.59596735,198.1,98152,5
0.5050788819789886,0.0,0.00065180263,0.0039332686,0.0039332686,54.1489839553833,780,199.825,0.5853629,199.825,99152,5
0.42908114194869995,0.0,0.0006713541,0.0023454863,0.0023454863,54.71122670173645,786,200.0,0.5914372,200.0,100352,6
