# {"t_start": 1539260316.813338, "env_id": "CartPole-v0"} 
r,l,t
175.0,175,31.410503
187.0,187,31.483316
200.0,200,31.56146
159.0,159,31.623176
200.0,200,31.719894
200.0,200,31.919534
200.0,200,32.017374
200.0,200,32.098236
151.0,151,32.166397
200.0,200,32.245691
200.0,200,32.416909
190.0,190,32.497422
200.0,200,32.60052
180.0,180,32.691223
159.0,159,32.771192
165.0,165,32.854554
200.0,200,33.026951
197.0,197,33.105177
134.0,134,33.157031
194.0,194,33.234229
200.0,200,33.327167
169.0,169,33.512552
200.0,200,33.6032
200.0,200,33.704944
200.0,200,33.809755
200.0,200,33.89845
200.0,200,33.97585
200.0,200,34.163202
172.0,172,34.251581
185.0,185,34.352431
200.0,200,34.454514
200.0,200,34.558328
179.0,179,34.720544
200.0,200,34.800627
200.0,200,34.880004
200.0,200,34.969546
200.0,200,35.060951
200.0,200,35.252841
200.0,200,35.348958
199.0,199,35.42738
186.0,186,35.501346
197.0,197,35.579607
200.0,200,35.758842
200.0,200,35.853322
200.0,200,35.937781
185.0,185,36.010956
200.0,200,36.093323
200.0,200,36.173746
200.0,200,36.368595
200.0,200,36.447179
200.0,200,36.533751
200.0,200,36.622692
200.0,200,36.713196
200.0,200,36.902043
200.0,200,37.002365
172.0,172,37.071345
200.0,200,37.154998
187.0,187,37.226833
191.0,191,37.411295
194.0,194,37.510136
200.0,200,37.612716
200.0,200,37.715589
194.0,194,37.802132
200.0,200,37.966874
200.0,200,38.043075
187.0,187,38.12279
181.0,181,38.205258
195.0,195,38.294501
168.0,168,38.37601
200.0,200,38.568512
200.0,200,38.65785
200.0,200,38.736309
200.0,200,38.813155
190.0,190,38.888705
200.0,200,39.073958
200.0,200,39.178302
200.0,200,39.280827
156.0,156,39.362295
200.0,200,39.450443
200.0,200,39.622236
193.0,193,39.698388
200.0,200,39.793553
200.0,200,39.893028
200.0,200,39.985191
200.0,200,40.174686
175.0,175,40.242093
200.0,200,40.32644
192.0,192,40.401139
161.0,161,40.461994
200.0,200,40.554612
200.0,200,40.757892
165.0,165,40.838786
200.0,200,40.939503
155.0,155,41.004142
200.0,200,41.094921
200.0,200,41.278546
182.0,182,41.369894
158.0,158,41.451317
200.0,200,41.553736
200.0,200,41.645122
187.0,187,41.718687
200.0,200,41.889716
200.0,200,41.972613
200.0,200,42.056554
200.0,200,42.135875
200.0,200,42.218129
200.0,200,42.40266
191.0,191,42.500552
174.0,174,42.580374
200.0,200,42.658918
200.0,200,42.737391
200.0,200,42.903541
167.0,167,42.990056
200.0,200,43.092127
193.0,193,43.190713
200.0,200,43.291511
175.0,175,43.378422
200.0,200,43.543668
200.0,200,43.626347
200.0,200,43.71449
180.0,180,43.807351
200.0,200,43.906624
200.0,200,44.100672
200.0,200,44.198152
200.0,200,44.274687
200.0,200,44.35909
200.0,200,44.465386
169.0,169,44.640444
