entropy,TimeElapsed,surrgain,EpLenMean,EpisodesSoFar,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,meankl,entloss,ev_tdlam_before
0.564339,48.832815170288086,0.0020127348,200.0,716,5,87968,0.0020127348,200.0,0.00078592735,0.0,0.3193734288215637
0.5580143,49.37676763534546,0.002390582,200.0,721,5,88968,0.002390582,200.0,0.00063967844,0.0,0.13523685932159424
0.560791,49.954418420791626,0.0034704916,200.0,726,5,89968,0.0034704916,200.0,0.00086894375,0.0,0.29145556688308716
0.5528778,50.44466423988342,0.0044640615,200.0,731,5,90968,0.0044640615,200.0,0.00088766054,0.0,-0.08687710762023926
0.55309284,50.973570823669434,0.0039744284,200.0,736,5,91968,0.0039744284,200.0,0.00096346496,0.0,0.008103907108306885
0.56736207,51.495861530303955,0.0025464643,200.0,742,6,93168,0.0025464643,200.0,0.0009915837,0.0,0.2827851176261902
0.55925405,52.035179138183594,0.0033286172,200.0,747,5,94168,0.0033286172,200.0,0.000838575,0.0,0.031083643436431885
0.553193,52.5481641292572,0.0028830315,200.0,752,5,95168,0.0028830315,200.0,0.0009152509,0.0,0.12033790349960327
0.5837755,53.14495062828064,0.0028526592,200.0,757,5,96168,0.0028526592,200.0,0.0010004502,0.0,0.0885501503944397
0.57526535,53.758150577545166,0.002839738,200.0,762,5,97168,0.002839738,200.0,0.0007910739,0.0,0.26959145069122314
0.5770449,54.329193353652954,0.0031618685,200.0,767,5,98168,0.0031618685,200.0,0.0007524007,0.0,0.385422945022583
0.565042,54.856375217437744,0.004535664,200.0,772,5,99168,0.004535664,200.0,0.00085992325,0.0,0.4732714295387268
0.55682254,55.437063455581665,0.006614279,200.0,777,5,100168,0.006614279,200.0,0.00091936986,0.0,0.03328579664230347
