entloss,meankl,EpisodesSoFar,entropy,TimestepsSoFar,TimeElapsed,EpLenMean,ev_tdlam_before,surrgain,EpThisIter,EpRewMean,optimgain
0.0,0.00076107786,44,0.6924243,1007,0.7247602939605713,22.425,0.003802001476287842,0.004944996,44,22.425,0.004944996
0.0,0.0010217923,85,0.6900924,2015,1.3147451877593994,23.85,0.0016999244689941406,0.006038841,41,23.85,0.006038841
0.0,0.0011188479,128,0.68456286,3062,1.8956525325775146,23.7,0.020345687866210938,0.006960407,43,23.7,0.006960407
0.0,0.0010802196,170,0.6788269,4076,2.5008368492126465,23.875,0.008487164974212646,0.007875076,42,23.875,0.007875076
0.0,0.00093378447,202,0.6720138,5120,3.117142677307129,31.425,-0.014332056045532227,0.0070880624,32,31.425,0.0070880624
0.0,0.000932676,237,0.6625875,6116,3.738003730773926,28.8,0.013078629970550537,0.0068672756,35,28.8,0.0068672756
0.0,0.00094621023,264,0.6599169,7166,4.307778358459473,35.325,0.0018059015274047852,0.0058625955,27,35.325,0.0058625955
0.0,0.0009349447,282,0.6513653,8096,4.909789085388184,46.175,0.009406685829162598,0.008707481,18,46.175,0.008707481
0.0,0.00085687765,301,0.64380383,9210,5.522685527801514,53.2,0.0050087571144104,0.007027491,19,53.2,0.007027491
0.0,0.0009099095,315,0.6418754,10226,6.0746331214904785,60.35,0.004154026508331299,0.007882953,14,60.35,0.007882953
0.0,0.00085864234,329,0.6327625,11261,6.647154808044434,68.0,0.0038997530937194824,0.008856152,14,68.0,0.008856152
0.0,0.00084925845,341,0.6179967,12237,7.263080835342407,75.675,0.0048566460609436035,0.0069310204,12,75.675,0.0069310204
0.0,0.0008963983,352,0.61765367,13296,7.859025716781616,81.525,0.008143842220306396,0.008679049,11,81.525,0.008679049
0.0,0.0007193574,359,0.6251068,14198,8.40107011795044,94.025,0.01511317491531372,0.0075139385,7,94.025,0.0075139385
0.0,0.00059298123,366,0.61252594,15292,8.996492147445679,106.125,0.01165163516998291,0.007713291,7,106.125,0.007713291
0.0,0.0008732658,373,0.618747,16352,9.613574266433716,120.975,0.07713979482650757,0.0060331924,7,120.975,0.0060331924
0.0,0.0007780952,381,0.59953666,17316,10.209500551223755,126.975,0.09276729822158813,0.006842721,8,126.975,0.006842721
0.0,0.00075443124,387,0.61052203,18408,10.769981622695923,141.3,0.1728491187095642,0.006414177,6,141.3,0.006414177
0.0,0.0008863431,395,0.60338366,19416,11.358542203903198,143.475,0.3384108543395996,0.005847696,8,143.475,0.005847696
0.0,0.000632821,401,0.59893847,20425,11.978973865509033,148.4,0.31187450885772705,0.004840642,6,148.4,0.004840642
0.0,0.0008292605,407,0.6151052,21486,12.574885845184326,151.675,0.4092225432395935,0.00402752,6,151.675,0.00402752
0.0,0.000916923,412,0.6217511,22486,13.156802415847778,156.45,0.12192243337631226,0.006119534,5,156.45,0.006119534
0.0,0.0005636166,418,0.609674,23509,13.753256797790527,163.8,0.23942381143569946,0.0048040645,6,163.8,0.0048040645
0.0,0.0005325414,423,0.62387985,24453,14.358981370925903,169.95,0.6680644154548645,0.004104711,5,169.95,0.004104711
0.0,0.0008160858,428,0.5956199,25402,14.96004319190979,174.125,0.24351215362548828,0.003889234,5,174.125,0.003889234
0.0,0.00083168084,434,0.59618104,26456,15.517282009124756,179.975,0.27669668197631836,0.0066324826,6,179.975,0.0066324826
0.0,0.00056704896,439,0.6017796,27456,16.12450408935547,185.775,0.08934003114700317,0.0027271577,5,185.775,0.0027271577
