# {"t_start": 1539468831.6708305, "env_id": "CartPole-v0"} 
r,l,t
19.0,19,21.769134
14.0,14,21.783921
21.0,21,21.802652
16.0,16,21.815381
15.0,15,21.828392
35.0,35,21.856739
16.0,16,21.870018
16.0,16,21.884566
17.0,17,21.906916
32.0,32,21.936318
22.0,22,21.956644
21.0,21,21.97748
18.0,18,21.99161
18.0,18,22.009036
15.0,15,22.022323
9.0,9,22.030356
26.0,26,22.051109
15.0,15,22.07074
70.0,70,22.136039
18.0,18,22.151447
111.0,111,22.247357
50.0,50,22.291279
21.0,21,22.310302
18.0,18,22.327008
36.0,36,22.358154
34.0,34,22.389266
12.0,12,22.402212
10.0,10,22.413997
23.0,23,22.436662
29.0,29,22.463091
13.0,13,22.475173
12.0,12,22.485149
20.0,20,22.503958
12.0,12,22.517146
17.0,17,22.531253
13.0,13,22.545153
75.0,75,22.609692
22.0,22,22.62723
31.0,31,22.654426
18.0,18,22.673248
14.0,14,22.687462
20.0,20,22.705049
16.0,16,22.718315
51.0,51,22.76073
27.0,27,22.782503
18.0,18,22.799435
35.0,35,22.828686
27.0,27,22.856444
66.0,66,22.933831
48.0,48,22.975397
11.0,11,22.984973
17.0,17,23.003266
13.0,13,23.013262
24.0,24,23.033383
13.0,13,23.044898
13.0,13,23.056275
17.0,17,23.072554
11.0,11,23.08156
26.0,26,23.103195
15.0,15,23.118965
54.0,54,23.163915
28.0,28,23.190314
17.0,17,23.20444
14.0,14,23.216941
33.0,33,23.243238
12.0,12,23.254846
15.0,15,23.268459
15.0,15,23.281057
18.0,18,23.294998
23.0,23,23.319458
16.0,16,23.342331
20.0,20,23.359349
26.0,26,23.38173
40.0,40,23.417989
27.0,27,23.443929
14.0,14,23.458033
21.0,21,23.480664
26.0,26,23.502059
16.0,16,23.516984
23.0,23,23.539384
10.0,10,23.548295
15.0,15,23.561581
20.0,20,23.580642
20.0,20,23.597576
17.0,17,23.614706
31.0,31,23.642629
18.0,18,23.658968
17.0,17,23.679038
34.0,34,23.713214
18.0,18,23.729909
35.0,35,23.759352
13.0,13,23.769581
16.0,16,23.790012
49.0,49,23.832396
9.0,9,23.842924
17.0,17,23.860272
29.0,29,23.885154
14.0,14,23.89976
16.0,16,23.916119
14.0,14,23.930435
29.0,29,23.957244
12.0,12,23.968961
12.0,12,23.981299
12.0,12,23.991853
28.0,28,24.015849
18.0,18,24.031071
20.0,20,24.050771
36.0,36,24.087956
41.0,41,24.122913
13.0,13,24.134471
28.0,28,24.158324
9.0,9,24.166671
12.0,12,24.18021
18.0,18,24.196423
40.0,40,24.232311
23.0,23,24.253688
62.0,62,24.311012
28.0,28,24.33493
68.0,68,24.402617
16.0,16,24.423301
14.0,14,24.439078
62.0,62,24.490477
14.0,14,24.503009
26.0,26,24.524378
46.0,46,24.569944
17.0,17,24.583617
27.0,27,24.607187
20.0,20,24.625937
9.0,9,24.634949
17.0,17,24.650682
50.0,50,24.698036
60.0,60,24.753419
14.0,14,24.765452
53.0,53,24.813088
30.0,30,24.837923
23.0,23,24.858818
17.0,17,24.875605
15.0,15,24.89004
12.0,12,24.899938
24.0,24,24.923585
31.0,31,24.950424
18.0,18,24.967981
13.0,13,24.980108
54.0,54,25.029568
27.0,27,25.054938
21.0,21,25.077232
14.0,14,25.091794
53.0,53,25.138117
16.0,16,25.153905
36.0,36,25.190035
11.0,11,25.200579
17.0,17,25.215261
17.0,17,25.232171
13.0,13,25.244779
23.0,23,25.267296
31.0,31,25.29748
13.0,13,25.310466
23.0,23,25.328944
19.0,19,25.347872
16.0,16,25.361888
13.0,13,25.374805
46.0,46,25.418626
13.0,13,25.435732
22.0,22,25.455127
25.0,25,25.47668
14.0,14,25.488638
14.0,14,25.501724
11.0,11,25.510812
14.0,14,25.523469
26.0,26,25.54583
32.0,32,25.572156
16.0,16,25.586847
12.0,12,25.596446
18.0,18,25.615857
34.0,34,25.648682
50.0,50,25.69444
16.0,16,25.709192
23.0,23,25.727259
19.0,19,25.743462
22.0,22,25.761926
19.0,19,25.778185
21.0,21,25.796027
15.0,15,25.809054
19.0,19,25.826507
15.0,15,25.839085
10.0,10,25.851058
18.0,18,25.876168
22.0,22,25.897889
26.0,26,25.922243
45.0,45,25.962283
16.0,16,25.977484
40.0,40,26.012461
12.0,12,26.02203
39.0,39,26.055651
21.0,21,26.075192
13.0,13,26.08812
16.0,16,26.106428
20.0,20,26.12639
20.0,20,26.146307
15.0,15,26.161918
13.0,13,26.174895
17.0,17,26.193558
16.0,16,26.208355
13.0,13,26.220084
40.0,40,26.254474
12.0,12,26.266371
43.0,43,26.303835
59.0,59,26.354558
34.0,34,26.387487
17.0,17,26.403023
11.0,11,26.412418
20.0,20,26.432918
19.0,19,26.451535
12.0,12,26.464186
46.0,46,26.508468
50.0,50,26.552522
11.0,11,26.562389
41.0,41,26.604069
55.0,55,26.657968
13.0,13,26.67081
62.0,62,26.728653
17.0,17,26.742503
30.0,30,26.767413
19.0,19,26.784631
31.0,31,26.809897
16.0,16,26.82426
19.0,19,26.841866
25.0,25,26.864623
12.0,12,26.875357
35.0,35,26.906666
30.0,30,26.937764
29.0,29,26.964618
29.0,29,26.990034
11.0,11,27.001589
25.0,25,27.023518
30.0,30,27.050993
41.0,41,27.091999
15.0,15,27.104967
30.0,30,27.134292
17.0,17,27.157619
18.0,18,27.172742
25.0,25,27.194591
24.0,24,27.217234
15.0,15,27.229933
47.0,47,27.271005
13.0,13,27.282625
25.0,25,27.303759
18.0,18,27.32061
24.0,24,27.343917
38.0,38,27.376814
29.0,29,27.404438
21.0,21,27.427403
36.0,36,27.459863
13.0,13,27.473276
20.0,20,27.490733
18.0,18,27.510353
26.0,26,27.534547
43.0,43,27.573267
22.0,22,27.595339
46.0,46,27.634876
25.0,25,27.659201
17.0,17,27.673775
21.0,21,27.69521
22.0,22,27.71365
37.0,37,27.745131
19.0,19,27.762061
66.0,66,27.819648
30.0,30,27.848392
13.0,13,27.86735
22.0,22,27.89052
47.0,47,27.93797
18.0,18,27.952554
56.0,56,28.006906
24.0,24,28.027573
42.0,42,28.06252
35.0,35,28.091793
30.0,30,28.118938
11.0,11,28.128644
15.0,15,28.142601
41.0,41,28.178672
44.0,44,28.219012
13.0,13,28.232165
29.0,29,28.256431
59.0,59,28.312158
18.0,18,28.332019
66.0,66,28.393146
22.0,22,28.411177
