meankl,entropy,TimestepsSoFar,ev_tdlam_before,entloss,EpisodesSoFar,surrgain,EpLenMean,EpRewMean,optimgain,TimeElapsed,EpThisIter
0.00047743236,0.69258034,982,-0.0006707906723022461,0.0,42,0.0058023296,23.525,23.525,0.0058023296,0.6349859237670898,42
0.0004704431,0.69098693,2037,0.003135085105895996,0.0,93,0.005237138,20.375,20.375,0.005237138,1.1649127006530762,51
0.00050122035,0.68894655,3046,0.0030183792114257812,0.0,130,0.005764438,26.375,26.375,0.005764438,1.7264375686645508,37
0.0005039916,0.6857723,4078,-0.010019063949584961,0.0,169,0.007338032,26.05,26.05,0.007338032,2.2557878494262695,39
0.00050978805,0.6818119,5089,0.02126765251159668,0.0,206,0.0060766498,28.55,28.55,0.0060766498,2.7671451568603516,37
0.00048769,0.67742634,6110,-0.011130213737487793,0.0,244,0.0056096683,26.75,26.75,0.0056096683,3.323636293411255,38
0.00052297,0.67329776,7161,0.007945895195007324,0.0,274,0.0053976336,31.825,31.825,0.0053976336,3.909546136856079,30
0.00047105452,0.6667943,8189,0.015220344066619873,0.0,302,0.006066587,36.575,36.575,0.006066587,4.443169593811035,28
0.00045649064,0.65879023,9166,0.015263080596923828,0.0,331,0.0058841463,33.65,33.65,0.0058841463,4.987834930419922,29
0.00047842396,0.6615605,10177,0.010707736015319824,0.0,350,0.0054157395,40.025,40.025,0.0054157395,5.54798150062561,19
0.0004096039,0.6501415,11204,0.010084450244903564,0.0,370,0.0055737896,51.4,51.4,0.0055737896,6.0790839195251465,20
0.00043920724,0.6394839,12188,0.009982168674468994,0.0,389,0.004941984,51.5,51.5,0.004941984,6.638895750045776,19
0.00042534908,0.64767814,13243,0.029827892780303955,0.0,401,0.004134709,59.15,59.15,0.004134709,7.162784814834595,12
0.00042567326,0.6362908,14232,-0.00286257266998291,0.0,414,0.0047905142,69.1,69.1,0.0047905142,7.717721939086914,13
0.0003804039,0.6330711,15290,0.018686771392822266,0.0,426,0.004751059,82.575,82.575,0.004751059,8.252676248550415,12
0.00047367503,0.62621677,16375,0.014742732048034668,0.0,437,0.0053896396,85.25,85.25,0.0053896396,8.82584810256958,11
0.0004023692,0.62437546,17304,0.0026909708976745605,0.0,446,0.004730339,91.275,91.275,0.004730339,9.41719937324524,9
0.00038410455,0.62063915,18414,0.011736273765563965,0.0,456,0.004033491,98.175,98.175,0.004033491,9.96390414237976,10
0.00043641764,0.6222406,19260,0.029571235179901123,0.0,463,0.0050063655,105.05,105.05,0.0050063655,10.524377584457397,7
0.00037157722,0.61514336,20367,0.06233769655227661,0.0,470,0.004896285,114.4,114.4,0.004896285,11.091936111450195,7
0.0002549944,0.6203126,21444,0.08515959978103638,0.0,477,0.003072716,126.725,126.725,0.003072716,11.623551607131958,7
0.0003323752,0.6178832,22469,0.07014656066894531,0.0,484,0.0032597417,133.45,133.45,0.0032597417,12.186244249343872,7
0.00039836793,0.6117444,23403,0.08227002620697021,0.0,489,0.0027866042,139.925,139.925,0.0027866042,12.794878005981445,5
0.0003579278,0.6112366,24440,0.100788414478302,0.0,496,0.004060044,150.65,150.65,0.004060044,13.359245777130127,7
0.00033670652,0.6089641,25439,0.02568793296813965,0.0,502,0.0037783408,156.4,156.4,0.0037783408,13.90120267868042,6
0.0004108337,0.60326385,26502,0.14937102794647217,0.0,509,0.0044767787,156.975,156.975,0.0044767787,14.52925705909729,7
0.00034219262,0.5981951,27509,0.1211082935333252,0.0,515,0.002855518,159.5,159.5,0.002855518,15.131798267364502,6
0.00039839983,0.61303824,28622,0.13304239511489868,0.0,521,0.0043811095,165.9,165.9,0.0043811095,15.690853834152222,6
0.00028133916,0.6103139,29528,0.26172375679016113,0.0,526,0.0019840717,167.275,167.275,0.0019840717,16.242690563201904,5
0.00037128705,0.6027467,30528,0.044135332107543945,0.0,531,0.0027483806,169.075,169.075,0.0027483806,16.838102340698242,5
