EpLenMean,EpisodesSoFar,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,EpThisIter,entloss,entropy,surrgain,ev_tdlam_before,meankl
24.9,41,24.9,1015,0.007221018,0.6306898593902588,41,0.0,0.6922182,0.007221018,-0.004773974418640137,0.0008861087
25.6,81,25.6,2039,0.006531043,1.1317121982574463,40,0.0,0.68961143,0.006531043,0.00425565242767334,0.0009057615
26.55,119,26.55,3065,0.009711073,1.691683053970337,38,0.0,0.6846409,0.009711073,0.009276747703552246,0.0010450077
31.05,150,31.05,4078,0.007218113,2.2141997814178467,31,0.0,0.6791787,0.007218113,0.03530091047286987,0.0010212748
34.325,180,34.325,5114,0.009807766,2.7162201404571533,30,0.0,0.67173934,0.009807766,-0.00353395938873291,0.00094356167
37.275,205,37.275,6116,0.0085828295,3.279242515563965,25,0.0,0.6644618,0.0085828295,0.05320703983306885,0.00091050135
44.725,227,44.725,7156,0.008330455,3.8020942211151123,22,0.0,0.6536763,0.008330455,0.02364981174468994,0.0009598363
44.55,250,44.55,8132,0.0069029042,4.300966501235962,23,0.0,0.645188,0.0069029042,0.02163296937942505,0.000872896
50.375,264,50.375,9100,0.007708315,4.868635892868042,14,0.0,0.6408058,0.007708315,0.010667264461517334,0.00096059585
65.3,277,65.3,10132,0.006934586,5.4158735275268555,13,0.0,0.6327034,0.006934586,0.020967185497283936,0.0008774819
73.675,291,73.675,11216,0.0072357547,5.924724102020264,14,0.0,0.62507,0.0072357547,0.01830291748046875,0.0007962442
81.0,303,81.0,12266,0.007045364,6.495341062545776,12,0.0,0.6222654,0.007045364,0.01772862672805786,0.00081247685
87.55,310,87.55,13180,0.007929336,7.010677337646484,7,0.0,0.6292263,0.007929336,0.02880913019180298,0.0007720337
103.675,317,103.675,14279,0.0034344802,7.514496564865112,7,0.0,0.63294065,0.0034344802,0.052264630794525146,0.00092712604
114.625,326,114.625,15331,0.007022151,8.091501474380493,9,0.0,0.6224725,0.007022151,0.08004069328308105,0.0009020978
117.95,334,117.95,16297,0.008355057,8.652885437011719,8,0.0,0.61425185,0.008355057,0.1427575945854187,0.00080524577
129.675,341,129.675,17318,0.00746198,9.178905963897705,7,0.0,0.610489,0.00746198,0.10186618566513062,0.00065668795
141.425,347,141.425,18398,0.006776937,9.781147241592407,6,0.0,0.6138885,0.006776937,0.2166147232055664,0.000810319
