TimeElapsed,optimgain,EpThisIter,EpLenMean,entropy,EpRewMean,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,entloss,surrgain,meankl
34.487016677856445,0.0013149995,5,178.9,0.5932373,178.9,0.4766853451728821,63407,1128,0.0,0.0013149995,6.932052e-05
35.050240993499756,0.00072209677,5,180.025,0.5982348,180.025,0.2807505130767822,64407,1133,0.0,0.00072209677,7.5648924e-05
35.58633804321289,0.0016533204,6,184.8,0.5870114,184.8,0.23001569509506226,65523,1139,0.0,0.0016533204,8.353761e-05
36.1831750869751,0.00075621135,5,187.0,0.60227174,187.0,0.35353565216064453,66523,1144,0.0,0.00075621135,5.3332653e-05
36.6824996471405,0.0017282591,5,188.025,0.5882325,188.025,0.04674440622329712,67436,1149,0.0,0.0017282591,8.529707e-05
37.211108922958374,0.0010538895,5,189.55,0.597759,189.55,0.23597770929336548,68412,1154,0.0,0.0010538895,8.301326e-05
37.790592432022095,0.0019697445,6,194.1,0.59112984,194.1,0.36591100692749023,69604,1160,0.0,0.0019697445,7.7211946e-05
38.32735562324524,0.0023288918,6,189.525,0.5866221,189.525,0.2994392514228821,70588,1166,0.0,0.0023288918,8.230929e-05
38.85083246231079,0.0010337364,5,189.525,0.59552705,189.525,0.5513364970684052,71588,1171,0.0,0.0010337364,7.563981e-05
39.43584132194519,0.0012502451,5,189.325,0.60138714,189.325,0.5744743347167969,72580,1176,0.0,0.0012502451,7.0672606e-05
40.00231170654297,0.0011470978,5,190.9,0.5926602,190.9,0.32944339513778687,73559,1181,0.0,0.0011470978,6.230413e-05
40.56342124938965,0.0015235485,6,192.675,0.5923455,192.675,0.6952397525310516,74743,1187,0.0,0.0015235485,6.404062e-05
41.110283613204956,0.0013331622,5,193.275,0.60175997,193.275,0.2320781946182251,75743,1192,0.0,0.0013331622,7.572972e-05
41.692795515060425,0.0017528175,5,192.525,0.55928874,192.525,0.28916436433792114,76705,1197,0.0,0.0017528175,6.556021e-05
42.21245098114014,0.0012072832,5,192.525,0.5887908,192.525,0.5315302908420563,77705,1202,0.0,0.0012072832,4.2309992e-05
42.7579140663147,0.00053710584,5,197.925,0.59428763,197.925,0.42402350902557373,78705,1207,0.0,0.00053710584,7.881227e-05
43.25074100494385,0.0018840223,5,198.125,0.5912844,198.125,0.3493255376815796,79705,1212,0.0,0.0018840223,8.766081e-05
43.765846252441406,0.000909335,6,196.6,0.58869946,196.6,0.27168625593185425,80844,1218,0.0,0.000909335,7.777389e-05
44.328774213790894,0.0015257583,5,196.9,0.5869348,196.9,0.7864076346158981,81832,1223,0.0,0.0015257583,8.562199e-05
44.865155935287476,0.0011179643,5,196.875,0.6000079,196.875,0.36639338731765747,82818,1228,0.0,0.0011179643,8.545561e-05
45.42711591720581,0.00083443196,5,196.875,0.60463166,196.875,0.23115599155426025,83818,1233,0.0,0.00083443196,8.321938e-05
45.95319581031799,0.0012463895,5,197.825,0.5899632,197.825,0.3421841859817505,84818,1238,0.0,0.0012463895,8.514288e-05
