optimgain,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,entloss,TimestepsSoFar,entropy,meankl,TimeElapsed,EpisodesSoFar,surrgain
0.00669587,22.4,-0.0027780532836914062,22.4,46,0.0,1019,0.69225615,0.0009212624,0.6282317638397217,46,0.00669587
0.004205257,24.725,0.003075242042541504,24.725,42,0.0,2039,0.69009703,0.0008125659,1.162811040878296,88,0.004205257
0.008997818,24.55,0.048402607440948486,24.55,41,0.0,3042,0.6863112,0.0009759139,1.7139101028442383,129,0.008997818
0.007172258,24.675,0.04393303394317627,24.675,42,0.0,4091,0.6813625,0.00084333285,2.258759021759033,171,0.007172258
0.008791488,31.2,0.12250542640686035,31.2,32,0.0,5120,0.67670393,0.00090259337,2.7793750762939453,203,0.008791488
0.010588497,27.075,0.10874444246292114,27.075,36,0.0,6132,0.66724885,0.00095413066,3.314215660095215,239,0.010588497
0.009982815,36.4,0.08451807498931885,36.4,28,0.0,7147,0.6578473,0.0009853891,3.8925230503082275,267,0.009982815
0.008446876,38.025,0.09615391492843628,38.025,24,0.0,8169,0.6527622,0.0009430024,4.438568592071533,291,0.008446876
0.0071775676,50.875,0.47161561250686646,50.875,17,0.0,9216,0.6508197,0.0008238666,4.972188949584961,308,0.0071775676
0.0053352993,55.525,0.18306350708007812,55.525,17,0.0,10208,0.64036816,0.0008807123,5.5555830001831055,325,0.0053352993
0.0075679286,61.725,0.5142199099063873,61.725,16,0.0,11233,0.63387257,0.00084470655,6.0736167430877686,341,0.0075679286
0.008932415,68.7,0.5630985498428345,68.7,11,0.0,12213,0.6313102,0.0008977151,6.604956865310669,352,0.008932415
0.008865325,82.0,0.37829482555389404,82.0,8,0.0,13237,0.6268566,0.000889124,7.108986139297485,360,0.008865325
0.010646976,96.225,0.5496633648872375,96.225,8,0.0,14326,0.61899495,0.0010263408,7.641165494918823,368,0.010646976
0.011216752,108.85,0.39788347482681274,108.85,9,0.0,15314,0.6129589,0.0009417615,8.214739084243774,377,0.011216752
0.0075072963,123.55,0.7991605699062347,123.55,5,0.0,16230,0.61601067,0.00083074626,8.780659437179565,382,0.0075072963
0.006308641,135.2,0.6574198305606842,135.2,6,0.0,17276,0.6124892,0.0005789959,9.325663089752197,388,0.006308641
0.004814443,147.625,0.7649924606084824,147.625,6,0.0,18387,0.6279482,0.00069019914,9.8359854221344,394,0.004814443
0.004120319,155.2,0.6262670159339905,155.2,6,0.0,19445,0.61672664,0.00060337456,10.392551183700562,400,0.004120319
0.005436864,158.025,0.015089571475982666,158.025,5,0.0,20318,0.6005792,0.00070031127,10.929256439208984,405,0.005436864
0.0054635806,167.275,0.3625500202178955,167.275,6,0.0,21418,0.5993149,0.00059637177,11.474013328552246,411,0.0054635806
0.0054190243,177.6,0.19596177339553833,177.6,5,0.0,22376,0.59397864,0.00067487475,12.038214445114136,416,0.0054190243
0.004187702,183.0,0.07414168119430542,183.0,6,0.0,23550,0.59930766,0.0005642538,12.594463109970093,422,0.004187702
0.00680021,184.05,0.07581084966659546,184.05,5,0.0,24448,0.5948312,0.00064077263,13.101841688156128,427,0.00680021
0.0073596817,182.35,0.7847570180892944,182.35,6,0.0,25535,0.59737515,0.0008667809,13.642540454864502,433,0.0073596817
0.0036132475,187.25,0.07947653532028198,187.25,5,0.0,26535,0.6012485,0.0006912666,14.150587320327759,438,0.0036132475
0.0048127435,190.2,0.5376250445842743,190.2,5,0.0,27526,0.58535326,0.00080596947,14.672035455703735,443,0.0048127435
0.004449903,189.4,0.13194400072097778,189.4,6,0.0,28669,0.5804465,0.00085026294,15.255241394042969,449,0.004449903
0.007622686,189.275,0.7580470144748688,189.275,5,0.0,29547,0.5830341,0.00075561355,15.836500883102417,454,0.007622686
0.0023779217,189.275,0.026504099369049072,189.275,5,0.0,30547,0.5903286,0.0006118929,16.342530727386475,459,0.0023779217
0.00435244,188.5,0.02648085355758667,188.5,6,0.0,31673,0.5884231,0.0004327754,16.915181398391724,465,0.00435244
0.004795958,190.7,0.6361411809921265,190.7,5,0.0,32673,0.59978104,0.0007833808,17.51047968864441,470,0.004795958
0.0031948108,191.1,0.7652239799499512,191.1,6,0.0,33779,0.5852356,0.00045555178,18.01427698135376,476,0.0031948108
0.003823638,191.1,0.32088011503219604,191.1,5,0.0,34779,0.60091186,0.0008514796,18.56961226463318,481,0.003823638
0.0032607485,192.475,0.9338489025831223,192.475,5,0.0,35768,0.58152324,0.0005203716,19.111026763916016,486,0.0032607485
0.0030417154,191.825,0.6340071558952332,191.825,5,0.0,36730,0.5874052,0.00068184896,19.619813680648804,491,0.0030417154
