# {"t_start": 1539260753.499362, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,53.359962
200.0,200,53.437807
200.0,200,53.623072
200.0,200,53.707098
200.0,200,53.806372
200.0,200,53.902761
200.0,200,53.978362
200.0,200,54.060663
200.0,200,54.237701
200.0,200,54.32568
200.0,200,54.424157
200.0,200,54.524678
200.0,200,54.618928
200.0,200,54.793376
200.0,200,54.874398
200.0,200,54.955415
200.0,200,55.038375
200.0,200,55.139145
