# {"t_start": 1541100844.3280404, "env_id": "LunarLander-v2"} 
r,l,t
-66.057368,76,30.223552
-130.068289,71,30.279285
-250.562855,102,30.361226
-68.955318,67,30.414185
-112.069049,69,30.468189
-117.646896,68,30.521648
-160.079463,79,30.586243
-91.686334,75,30.646587
-85.571522,109,30.733148
-197.497044,103,30.816278
-87.570752,67,31.283932
4.876447,112,31.378123
-130.656029,140,31.496716
-152.914613,134,31.6082
-207.724767,95,31.685053
-105.75543,79,31.747513
-198.274385,68,31.800555
-78.400301,82,31.866579
-127.999365,62,31.915092
-89.036042,80,31.979506
-91.482411,73,32.037741
-211.565343,110,32.125769
-152.399452,74,32.185776
-200.23445,101,32.26733
-227.520084,123,32.369145
-177.458802,121,32.467515
-113.629023,72,32.525317
-238.934272,125,32.62924
-117.327249,72,32.686119
-184.176006,90,32.758723
-93.093345,120,32.856833
-166.46068,81,32.922361
-21.103198,85,32.99221
-275.260976,105,33.077831
-126.293389,133,33.188895
-183.60464,84,33.257288
-340.823365,95,33.334236
-141.630986,91,33.406643
-120.32993,76,33.465111
-155.199989,61,33.51289
-80.202991,61,33.56177
-76.970029,71,33.617856
-106.113415,62,33.666898
-74.026268,70,33.722154
-151.179346,96,33.799786
-99.045214,118,33.895454
-100.498451,67,33.948417
-374.830868,99,34.029014
-98.394946,73,34.086043
-106.815132,114,34.177707
-81.354912,58,34.22417
-247.545786,131,34.334847
-79.875674,74,34.393541
-226.413525,104,34.478766
-109.577626,81,34.545512
-92.634944,82,35.026159
-171.119678,110,35.115159
-141.113111,80,35.177828
-381.874519,105,35.264977
-81.925998,122,35.367696
-224.364527,90,35.439093
-125.404715,98,35.517627
-532.6916,137,35.633385
-117.333378,73,35.69238
-87.565538,95,35.768438
-331.924747,110,35.857891
-104.920665,83,35.92436
-148.252984,78,35.987406
-185.767447,140,36.105426
-107.193995,71,36.160718
-315.0249,130,36.269157
-85.018867,91,36.342693
-174.69028,90,36.415349
-107.982969,90,36.487395
-103.459285,82,36.551733
-135.988021,84,36.620888
-74.929727,70,36.677234
-108.097989,117,36.773218
-49.787242,59,36.819452
-117.963863,96,36.895961
-218.533883,85,36.9638
-156.646882,118,37.060873
-112.805061,73,37.118348
-89.746066,88,37.188918
54.14389,94,37.264291
-176.557829,88,37.335699
-304.825437,97,37.413907
-123.798053,108,37.501258
-161.048822,71,37.557936
-60.011254,77,37.620707
-307.030671,96,37.699362
-96.823323,63,37.748391
-117.748066,67,37.801663
-109.29468,90,37.874183
-161.892329,94,37.95022
-126.13286,111,38.041492
-100.631124,77,38.1027
-113.64561,98,38.182778
-115.6467,78,38.244214
58.938805,1000,40.732146
-140.476685,61,40.780444
-134.122816,124,40.880292
-59.156541,124,40.982965
-318.850804,125,41.08656
-120.800567,110,41.175435
-99.233807,80,41.238319
-318.034055,123,41.339103
-88.742561,129,41.446125
-108.677853,101,41.52831
25.696754,127,41.634253
-87.36925,115,41.728746
-115.321503,82,41.794071
-325.90849,103,41.877855
-92.588434,62,41.926655
-189.680835,89,41.99754
-131.100907,112,42.090252
-36.356499,72,42.148372
-105.001746,98,42.225691
-62.933021,85,42.295403
-70.201043,112,42.395816
-44.656129,119,42.495189
-119.696233,66,42.546432
-65.158024,67,42.59997
-129.607379,74,42.656797
-136.42019,63,42.706466
-87.733579,63,42.75631
-243.068021,98,42.83304
-198.65286,118,42.929678
-105.863874,111,43.020567
-253.604628,90,43.093315
-147.450271,122,43.19551
-241.382579,138,43.312157
-175.587287,107,43.806133
-117.38009,118,43.903662
-146.79982,137,44.016283
-128.116857,79,44.079203
-77.6935,71,44.136461
-154.934811,125,44.236815
-106.771786,74,44.296096
-12.59943,96,44.373915
-124.566479,81,44.438657
-128.122187,99,44.51819
-137.702512,77,44.579345
-152.024445,122,44.679114
-226.934969,84,44.747345
-90.56838,73,44.805354
-72.902744,73,44.862972
-122.979951,81,44.926549
-83.836712,130,45.034377
-124.312297,76,45.094628
-129.528455,91,45.166337
-189.767956,111,45.257157
-108.636315,62,45.305516
-335.425035,83,45.371778
-76.295159,81,45.435338
-117.863472,58,45.479904
-126.369355,107,45.567877
-106.890782,91,45.640214
-93.905695,71,45.696594
-110.690233,71,45.754095
-68.596958,68,45.809406
-84.007896,77,45.871044
-110.642025,75,45.93172
-169.540784,67,45.984943
-126.273451,91,46.057536
-29.280372,133,46.171082
-102.578447,70,46.225526
-132.590356,115,46.319696
-214.43173,113,46.410605
-50.700148,74,46.47015
-113.824873,64,46.521859
-201.59374,73,46.581564
-123.814966,106,46.668604
-44.517728,66,46.721292
-209.445553,105,46.806103
-212.372709,72,46.864534
-103.784204,93,46.938688
-104.151667,130,47.046684
-101.513462,134,47.569832
-151.915846,74,47.628941
-131.838247,70,47.683579
-124.777707,78,47.745161
-102.858707,78,47.807462
-149.869718,87,47.877629
-239.768136,93,47.952039
-192.492772,78,48.014742
-187.237136,117,48.109812
-311.44131,95,48.185637
-150.036845,79,48.248678
-81.209053,82,48.314495
-126.543779,110,48.404936
-86.78457,77,48.467169
-101.860339,62,48.516842
-136.346355,106,48.60369
-240.077647,93,48.680121
-159.695442,91,48.753786
-106.145901,75,48.814718
-140.97441,87,48.883477
-181.663822,119,48.981838
-127.648741,57,49.026481
-137.627312,108,49.11147
-70.401948,67,49.164267
-244.452099,105,49.25227
-138.009774,94,49.329107
-166.642255,118,49.425111
-75.537354,64,49.47666
30.223545,110,49.566115
-92.094248,67,49.62053
-117.009795,92,49.695779
-114.081596,113,49.788345
-51.072156,106,49.874249
-96.014067,71,49.929988
-86.885919,85,49.99863
-94.365393,80,50.06124
-316.182979,112,50.154549
-98.211888,73,50.212771
-80.904113,76,50.273134
-109.571241,91,50.346548
-230.202538,95,50.424659
-241.874785,91,50.497378
-48.783767,104,50.58196
-131.126543,84,50.650944
-88.803301,72,50.708421
-175.410923,108,51.203221
-115.961226,68,51.258478
-90.956731,58,51.304633
-128.604398,110,51.395025
-192.509564,76,51.45588
-78.275274,104,51.543114
-91.979793,81,51.606723
-81.16194,66,51.659147
-114.338203,66,51.71122
-399.09041,93,51.787046
-25.647918,92,51.861908
-179.060814,90,51.935566
-124.435986,97,52.01369
-381.244017,104,52.099134
-112.479824,121,52.198379
-132.503716,84,52.263844
-107.897073,101,52.343583
-83.32006,109,52.431763
-211.303719,119,52.528804
-142.881172,89,52.599571
-80.351448,75,52.659664
-100.620307,75,52.719369
-114.654059,113,52.812236
-206.81027,76,52.874245
-87.94499,80,52.938874
-106.359237,61,52.986813
-165.22638,114,53.079848
-173.337213,110,53.167537
-31.563101,111,53.257232
-113.115867,62,53.305567
-98.937649,84,53.373286
-93.393206,83,53.440511
-149.953546,79,53.504345
-137.759416,94,53.579222
-105.399291,87,53.649594
-109.491179,84,53.716736
-264.673569,99,53.798123
-62.190691,71,53.853767
-114.043473,72,53.910517
-147.749713,107,53.996385
-59.777936,59,54.043222
-125.640512,67,54.096561
-157.878352,79,54.157682
-119.166999,110,54.246201
-280.925314,117,54.343176
-222.999453,88,54.413903
-100.070773,84,54.481361
-154.712988,71,54.948369
-123.464271,67,55.002532
-111.825218,77,55.065205
-67.966673,79,55.12893
-127.575671,84,55.195312
33.453693,72,55.253788
-78.935437,102,55.336319
-113.328559,92,55.410869
-118.934091,72,55.469358
-110.775209,112,55.559938
-133.827078,97,55.639244
-97.463922,70,55.695469
-91.804918,73,55.754006
-90.282523,83,55.820615
-84.03414,73,55.878605
-84.855588,125,55.978768
-163.813172,67,56.032772
-64.813644,63,56.083405
-167.221262,142,56.201699
-84.642213,87,56.271748
-182.069111,110,56.363778
-78.23816,107,56.450071
-137.749646,98,56.530879
-63.031286,69,56.586581
-78.745498,112,56.677075
-135.33254,108,56.765223
-112.138806,61,56.813912
-120.931301,136,56.928582
-367.782509,123,57.029944
-112.421079,112,57.11972
-88.564049,76,57.18018
-147.497183,99,57.260358
-127.09193,106,57.348797
-136.685322,110,57.437098
-90.905998,118,57.531644
-268.360243,111,57.625637
-106.316206,85,57.69493
-170.486211,118,57.79145
-186.686491,119,57.888793
-96.438514,103,57.971584
5.637534,82,58.037516
-192.415107,149,58.165102
-162.301576,136,58.690777
-122.854786,105,58.776472
-66.519403,69,58.831072
-83.691802,84,58.900961
-113.155374,83,58.968313
-134.967707,111,59.059033
-140.741904,106,59.144888
-82.678597,78,59.207761
-138.00374,88,59.277969
-82.884032,68,59.331908
-297.499701,83,59.400634
-120.401424,69,59.454482
-73.515779,73,59.512906
-94.424214,68,59.566254
-77.255287,87,59.636862
-103.962349,86,59.705521
-105.077448,94,59.781386
-88.39327,73,59.839627
-112.438737,83,59.906943
-87.37831,68,59.960628
-103.183136,78,60.021681
-164.562424,108,60.107531
-117.614239,107,60.193953
-77.138207,60,60.241862
-166.153931,77,60.303867
-119.941908,106,60.389354
-110.51251,86,60.458183
-86.508558,62,60.506522
-99.222918,66,60.558523
-102.686775,125,60.659538
-185.249995,82,60.726222
-94.071183,80,60.790244
-94.328265,62,60.839271
-100.03298,93,60.915329
-111.086868,58,60.961262
-97.556723,89,61.033218
-95.070023,84,61.100573
-167.307151,71,61.157519
-110.948868,86,61.226336
-79.540629,106,61.313262
-162.37671,85,61.381708
-282.493873,103,61.465448
-120.865611,75,61.524756
-103.453697,95,61.601253
-122.193796,132,61.710057
-128.276495,101,61.79036
-94.407644,75,61.850927
-65.227954,83,61.91826
-117.785999,72,62.37618
-153.884069,68,62.42979
-135.169756,103,62.511582
-222.836469,86,62.583323
-55.752919,63,62.633152
-119.37475,128,62.740107
-131.916476,104,62.823907
-73.6763,76,62.884499
-208.320008,103,62.968098
-102.076319,85,63.035085
-72.944693,133,63.14731
-200.479204,108,63.233747
-77.512276,66,63.286573
-281.124658,85,63.354334
-127.711994,95,63.429674
-101.207967,81,63.494525
-82.608343,85,63.563176
-206.28358,128,63.668262
-126.602258,85,63.736492
-129.021572,116,63.831383
-128.719155,90,63.903624
-121.535007,67,63.957826
-51.367655,109,64.045799
-143.337099,78,64.107792
-77.904892,64,64.158278
-239.339026,121,64.25768
-125.27366,86,64.327408
-158.29438,91,64.400551
-214.870114,102,64.484329
-50.965942,74,64.5446
-104.890712,72,64.601975
-87.855535,128,64.70741
-125.534171,94,64.782663
-94.770713,74,64.841161
-145.208198,91,64.915643
-184.741784,111,65.0058
-91.596563,90,65.077211
-105.473596,76,65.136369
-84.742372,81,65.202201
-85.68212,96,65.281478
-263.671672,121,65.380927
-127.342883,65,65.43257
-82.111464,73,65.489982
-76.900112,102,65.572871
-105.618986,79,65.636486
-46.511018,63,66.099585
-198.553126,100,66.1797
-126.103844,96,66.256987
-112.000701,89,66.327247
-126.809508,65,66.379018
-164.900033,58,66.424141
-72.73216,98,66.503259
-84.891352,64,66.553981
-97.757545,108,66.641641
-79.392485,83,66.708058
-122.888153,75,66.767746
-233.151206,76,66.829013
-11.491044,102,66.911306
-203.222796,120,67.010062
-115.748715,107,67.096307
-116.138496,69,67.151422
-174.127675,119,67.249379
-119.955367,99,67.329559
-149.779325,71,67.386861
-116.729344,100,67.468218
-158.793174,147,67.589343
-74.841723,65,67.641371
-92.881402,90,67.714937
-145.504206,106,67.79986
-157.928575,125,67.903616
-106.374846,73,67.962896
-88.919078,73,68.022693
-141.704884,120,68.121021
-103.245686,95,68.197089
-139.814338,60,68.2461
-119.473783,106,68.333259
-40.987582,64,68.3853
-110.543437,71,68.441573
-67.944495,74,68.501045
-99.826219,115,68.5948
-100.087756,66,68.647094
-146.489666,113,68.740652
-146.932332,103,68.824906
-114.759534,89,68.896551
-171.832867,133,69.008788
-292.581871,113,69.102666
-100.985122,60,69.150373
-94.935745,63,69.201019
-234.285305,103,69.285881
-76.455744,70,69.341911
-189.926183,114,69.848486
-123.041881,66,69.900385
-100.887858,83,69.96559
-70.590133,82,70.031517
-252.347283,151,70.157126
-75.791536,67,70.211559
-103.746772,114,70.305881
-250.235769,125,70.408938
-218.739673,68,70.462852
-99.437026,87,70.533427
-265.991652,116,70.632119
-157.256466,95,70.707029
-42.849988,119,70.808071
-101.177432,93,70.883252
-144.783815,119,70.981436
-126.250691,97,71.061065
-60.309418,74,71.120604
-377.583049,130,71.230217
-4.557596,129,71.337197
-79.423291,68,71.391461
-252.732998,103,71.476901
-121.714572,108,71.565637
-152.835157,95,71.643134
-103.061943,72,71.700498
-186.094505,140,71.820378
-97.376752,140,71.936665
-126.518279,77,71.998931
-209.554227,88,72.068912
-93.751857,86,72.138501
-150.945721,107,72.226652
-105.238743,84,72.293225
-119.169277,91,72.375319
-81.448968,137,72.491917
-133.798952,89,72.56324
-184.179232,109,72.65086
-107.648334,106,72.737906
-74.225321,72,72.795304
-111.308314,62,72.844023
-126.679218,85,72.910449
-133.730986,62,72.95915
-106.891258,139,73.075188
-92.199194,60,73.122644
-201.062849,131,73.640812
-133.349302,103,73.723616
-83.101899,83,73.788712
-130.293527,107,73.874456
-73.513289,70,73.931481
-115.010433,73,73.990135
15.676608,75,74.050012
-86.92884,99,74.129708
-215.542252,92,74.206075
-127.845139,118,74.302078
-111.28312,126,74.405062
-118.651169,79,74.468776
-90.929283,122,74.56854
-104.791384,107,74.654602
-109.643565,82,74.719809
-112.715486,72,74.776993
-95.707278,109,74.864301
-128.983334,95,74.941829
-63.351972,81,75.007116
-84.752752,83,75.074123
-95.707327,69,75.12859
-101.918254,108,75.216327
-78.966974,63,75.26698
-191.07641,114,75.358461
-115.557912,79,75.421018
-82.953513,103,75.503849
-80.16587,112,75.594406
-121.06222,75,75.655354
-134.702779,91,75.730844
-109.072314,92,75.805247
-112.224213,112,75.895842
-114.589979,93,75.972361
-148.131535,108,76.06038
-123.504017,104,76.146018
-84.121041,120,76.245174
-87.761468,69,76.298774
-147.529574,116,76.394315
-135.021327,110,76.483839
-90.35982,64,76.53457
-167.542988,63,76.585989
-212.809732,81,76.650653
-108.713943,109,76.73975
-255.062697,113,76.830495
-134.701103,118,77.334141
-98.741452,74,77.393021
-182.114011,82,77.45812
-127.75367,85,77.524384
-97.600164,101,77.606745
-178.174179,103,77.69066
-49.478844,94,77.767675
-130.47759,84,77.835875
-100.894438,117,77.931502
-83.127993,109,78.020681
-170.138825,108,78.110293
-60.631055,110,78.199863
-99.110157,68,78.254462
-89.589859,87,78.32427
-82.021806,131,78.435
-215.265618,116,78.531156
-85.799563,92,78.604895
-104.13974,96,78.681828
-204.833371,76,78.743091
9.91651,87,78.815557
-79.583411,103,78.899945
-184.050476,114,78.991804
-221.396473,111,79.083947
-187.106427,101,79.164884
-96.739764,73,79.223153
-107.381552,81,79.286982
-185.201443,106,79.374326
-91.782602,61,79.422212
-163.006738,118,79.520217
-124.035147,70,79.574853
-171.959543,106,79.661334
-101.835004,111,79.749446
-75.570203,66,79.800836
-71.243805,58,79.8467
-106.825833,91,79.921421
-285.245002,136,80.036147
-109.276344,116,80.133899
-342.138639,131,80.243164
-113.542631,100,80.321852
-165.538723,110,80.411704
-124.268617,135,80.526338
-83.613587,63,80.576582
-84.012887,76,81.039115
-115.08376,94,81.115358
-71.519471,68,81.169667
0.924886,130,81.276498
-99.912989,67,81.329403
28.141475,114,81.426622
-72.466399,144,81.545339
-88.570515,74,81.604422
-75.283126,83,81.66994
-143.838997,119,81.769886
-90.346134,101,81.85165
-111.075984,104,81.935754
-120.369366,132,82.044136
-131.345313,82,82.109779
-253.682542,122,82.211753
-119.353247,81,82.276344
-121.593955,67,82.329912
-74.532743,90,82.403841
-133.034162,93,82.47885
-173.849235,92,82.55261
-96.038057,72,82.609277
-283.080721,113,82.700598
-136.772232,110,82.789185
-102.386604,103,82.871475
-107.136991,84,82.937605
-83.637784,77,82.999191
-132.423971,115,83.092344
-145.493272,90,83.1673
-162.560243,114,83.260743
-109.331571,77,83.321273
-170.356337,93,83.394942
-94.613385,110,83.484519
-75.878625,91,83.559097
-97.002343,103,83.642012
-121.227493,86,83.711668
-50.436601,70,83.767269
-154.283217,92,83.841133
-83.588481,77,83.902288
-109.157328,81,83.966929
-54.719463,69,84.022623
-87.244635,64,84.073582
-62.970907,105,84.158634
-71.87845,61,84.207525
-86.959875,64,84.257383
-192.091358,113,84.763331
-119.873919,67,84.816181
-49.004122,81,84.881856
-142.55558,76,84.943951
-32.26276,122,85.045419
-57.928342,69,85.100476
-92.181823,78,85.162211
-159.954485,128,85.266183
-148.898901,83,85.333277
-105.977777,68,85.387711
-97.051657,101,85.468514
-114.569148,73,85.52772
-96.079275,99,85.606755
-178.280153,100,85.687137
-81.172665,117,85.784618
-181.927714,108,85.871497
-78.921784,98,85.950792
-116.908679,122,86.050815
-78.856434,125,86.153667
-108.268847,126,86.256493
-107.608543,75,86.316961
-111.000552,106,86.404807
-67.367148,68,86.459044
-59.297584,127,86.565274
-102.583412,71,86.622078
-42.544766,66,86.675237
-93.497923,71,86.732208
-111.553376,90,86.803742
-83.750045,77,86.865551
-147.74035,90,86.937604
-63.483984,72,86.995937
-110.709825,115,87.089464
-70.760926,71,87.146261
-56.178144,63,87.195776
-177.363925,134,87.307375
-54.762768,68,87.361756
-97.793195,92,87.435439
-128.559838,74,87.494151
-128.261062,87,87.56347
-120.301584,102,87.64601
-61.624524,96,87.72411
-159.725575,95,87.801861
-120.107082,78,87.863924
-117.958476,122,87.965969
-108.201414,105,88.051393
-84.809511,71,88.508522
-174.639175,102,88.589899
-156.535941,119,88.688698
-109.127758,90,88.759619
-12.446789,136,88.872601
-113.990527,120,88.971384
-106.356426,79,89.035246
-115.557873,109,89.123251
-88.242317,101,89.203454
-79.95935,80,89.266864
-94.139747,81,89.330186
-118.659252,79,89.392793
-98.127828,71,89.44835
-97.528309,113,89.53926
-127.738134,77,89.60077
-195.777923,107,89.687008
-93.922867,77,89.748793
-120.133317,96,89.82545
-86.85516,84,89.893288
-126.677137,80,89.956987
-77.06132,90,90.028724
-17.784422,101,90.111123
-168.54826,107,90.199371
-158.492561,118,90.294829
-59.270352,79,90.358293
-118.93611,75,90.41843
-66.168564,76,90.47913
-135.124188,85,90.548558
-135.421948,85,90.616771
-80.365891,89,90.68899
-93.725639,73,90.747671
-180.851717,111,90.838305
-35.160766,141,90.955514
5.680151,63,91.005667
-126.635758,146,91.127554
-104.894321,68,91.182041
-163.306312,119,91.2811
-69.664373,79,91.344151
-58.153866,67,91.397268
-84.14339,125,91.502441
-141.936056,107,91.590227
-57.986111,76,91.652282
-117.375041,104,91.737469
-48.628229,61,91.785776
-89.999247,72,92.248917
-86.396626,95,92.325543
-98.816812,84,92.393895
-67.474886,71,92.451767
-96.641588,108,92.540275
-135.998111,100,92.620774
-233.597454,115,92.715698
-139.836361,82,92.781257
-70.439112,80,92.84397
-129.141016,117,92.937513
-57.420544,82,93.003134
-113.42834,75,93.062968
-79.271468,124,93.164641
-251.375288,102,93.248578
-85.987339,87,93.318044
-88.002783,80,93.381749
-108.279811,115,93.475906
