# {"t_start": 1539261837.1660576, "env_id": "CartPole-v0"} 
r,l,t
140.0,140,29.562002
56.0,56,29.590816
200.0,200,29.690107
200.0,200,29.765583
200.0,200,29.846861
200.0,200,29.928449
200.0,200,30.115038
200.0,200,30.195826
200.0,200,30.275326
196.0,196,30.352752
200.0,200,30.431729
200.0,200,30.601897
200.0,200,30.684439
200.0,200,30.759461
200.0,200,30.843468
200.0,200,30.93401
200.0,200,31.133512
200.0,200,31.235132
200.0,200,31.32595
193.0,193,31.402366
200.0,200,31.486681
200.0,200,31.56129
200.0,200,31.731646
200.0,200,31.818868
200.0,200,31.921394
200.0,200,32.01084
200.0,200,32.092551
200.0,200,32.254928
200.0,200,32.331172
200.0,200,32.41104
122.0,122,32.463597
124.0,124,32.51271
200.0,200,32.591872
200.0,200,32.775948
200.0,200,32.878109
171.0,171,32.946562
145.0,145,33.002326
200.0,200,33.082442
200.0,200,33.253374
200.0,200,33.342614
200.0,200,33.431531
200.0,200,33.524317
134.0,134,33.592462
46.0,46,33.616062
200.0,200,33.798456
200.0,200,33.874942
200.0,200,33.951791
200.0,200,34.027615
200.0,200,34.103415
200.0,200,34.188888
200.0,200,34.372686
200.0,200,34.463529
200.0,200,34.543651
200.0,200,34.620776
200.0,200,34.718011
200.0,200,34.887189
112.0,112,34.931985
200.0,200,35.010712
200.0,200,35.08931
200.0,200,35.167853
200.0,200,35.328085
192.0,192,35.400814
200.0,200,35.482255
200.0,200,35.570926
200.0,200,35.647632
200.0,200,35.821804
200.0,200,35.925512
200.0,200,36.024818
167.0,167,36.108753
200.0,200,36.187405
200.0,200,36.266326
200.0,200,36.444714
200.0,200,36.518983
200.0,200,36.608688
200.0,200,36.700271
200.0,200,36.791656
200.0,200,36.967159
200.0,200,37.059368
171.0,171,37.139238
200.0,200,37.2278
140.0,140,37.280359
200.0,200,37.461748
200.0,200,37.565339
200.0,200,37.667845
200.0,200,37.755823
200.0,200,37.833401
200.0,200,38.024507
200.0,200,38.101367
191.0,191,38.181219
200.0,200,38.271559
200.0,200,38.363748
128.0,128,38.428369
166.0,166,38.587472
200.0,200,38.664803
200.0,200,38.754715
200.0,200,38.836744
200.0,200,38.913033
200.0,200,39.101326
200.0,200,39.202241
200.0,200,39.29687
200.0,200,39.372252
200.0,200,39.449523
200.0,200,39.630489
200.0,200,39.719698
200.0,200,39.805219
200.0,200,39.899433
200.0,200,39.989461
200.0,200,40.092659
200.0,200,40.258864
200.0,200,40.343432
200.0,200,40.428079
200.0,200,40.505277
200.0,200,40.590316
200.0,200,40.784063
200.0,200,40.886513
200.0,200,40.982677
200.0,200,41.059644
200.0,200,41.149205
200.0,200,41.31844
200.0,200,41.406721
200.0,200,41.497258
200.0,200,41.596216
200.0,200,41.677792
200.0,200,41.852222
200.0,200,41.948986
200.0,200,42.047621
200.0,200,42.126851
200.0,200,42.215171
200.0,200,42.413735
172.0,172,42.499398
200.0,200,42.583766
200.0,200,42.676841
56.0,56,42.703143
200.0,200,42.802332
200.0,200,42.965362
200.0,200,43.054496
200.0,200,43.144953
200.0,200,43.236016
115.0,115,43.287058
200.0,200,43.365011
200.0,200,43.556519
200.0,200,43.641471
200.0,200,43.717577
200.0,200,43.807458
200.0,200,43.91021
200.0,200,44.09852
200.0,200,44.179081
200.0,200,44.255402
200.0,200,44.334952
200.0,200,44.426926
200.0,200,44.614346
200.0,200,44.692321
200.0,200,44.776308
200.0,200,44.875307
200.0,200,44.957296
200.0,200,45.133673
200.0,200,45.229353
200.0,200,45.30976
200.0,200,45.388797
200.0,200,45.467849
200.0,200,45.652729
143.0,143,45.710927
200.0,200,45.790176
200.0,200,45.881206
200.0,200,45.959798
200.0,200,46.125252
200.0,200,46.214517
200.0,200,46.316226
200.0,200,46.41562
200.0,200,46.509261
171.0,171,46.581837
200.0,200,46.747652
200.0,200,46.83234
200.0,200,46.911587
200.0,200,46.990606
151.0,151,47.050166
200.0,200,47.258866
