EpRewMean,TimestepsSoFar,entloss,entropy,EpThisIter,optimgain,meankl,TimeElapsed,surrgain,ev_tdlam_before,EpisodesSoFar,EpLenMean
21.6,1004,0.0,0.6922997,45,0.0067485473,0.0009047273,0.9344081878662109,0.0067485473,-0.0011750459671020508,45,21.6
28.425,2037,0.0,0.6897099,36,0.008189003,0.0010133109,1.7707560062408447,0.008189003,0.03523749113082886,81,28.425
25.625,3062,0.0,0.6843395,40,0.00910054,0.0010082413,2.5743610858917236,0.00910054,0.14188456535339355,121,25.625
27.125,4087,0.0,0.6784393,37,0.00911612,0.0009427456,3.3633735179901123,0.00911612,0.23721009492874146,158,27.125
29.75,5115,0.0,0.67042804,35,0.010368461,0.0009740816,4.1974241733551025,0.010368461,0.2535369396209717,193,29.75
32.55,6133,0.0,0.6640076,28,0.008347541,0.0008987669,4.980793714523315,0.008347541,0.21496957540512085,221,32.55
40.025,7156,0.0,0.6570071,22,0.0077177403,0.0009652562,5.705167055130005,0.0077177403,0.21658271551132202,243,40.025
46.625,8166,0.0,0.64378893,22,0.008527303,0.00095630507,6.4821295738220215,0.008527303,0.23399531841278076,265,46.625
50.95,9134,0.0,0.64668477,16,0.009152539,0.00096572796,7.255839824676514,0.009152539,0.32005518674850464,281,50.95
63.5,10179,0.0,0.62824106,14,0.006671566,0.0009551074,8.054864168167114,0.006671566,0.20935672521591187,295,63.5
70.15,11180,0.0,0.6202225,14,0.0076649003,0.00092963397,8.843318939208984,0.0076649003,0.20156437158584595,309,70.15
78.825,12252,0.0,0.61341,11,0.007317415,0.00091722317,9.593680381774902,0.007317415,0.45992833375930786,320,78.825
86.025,13241,0.0,0.6060375,11,0.007598658,0.0009089039,10.41350269317627,0.007598658,0.25241559743881226,331,86.025
93.125,14331,0.0,0.60329705,8,0.004967939,0.0008368684,11.224260568618774,0.004967939,0.45922815799713135,339,93.125
103.275,15223,0.0,0.60408103,7,0.007919151,0.00094139716,12.010119199752808,0.007919151,0.5074961185455322,346,103.275
