# {"t_start": 1539261360.1928504, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,25.461056
200.0,200,25.545262
200.0,200,26.001569
200.0,200,26.082114
200.0,200,26.158771
200.0,200,26.24264
200.0,200,26.319412
200.0,200,26.766645
200.0,200,26.855222
200.0,200,26.939736
200.0,200,27.025803
200.0,200,27.108331
200.0,200,27.56279
200.0,200,27.645307
200.0,200,27.740064
200.0,200,27.838323
200.0,200,27.921831
200.0,200,28.409824
114.0,114,28.467435
200.0,200,28.563831
200.0,200,28.661656
200.0,200,28.757211
200.0,200,28.837285
200.0,200,29.29931
200.0,200,29.37993
200.0,200,29.465555
200.0,200,29.545745
200.0,200,29.622754
200.0,200,30.051754
200.0,200,30.14884
200.0,200,30.242287
200.0,200,30.346207
200.0,200,30.441215
200.0,200,30.895222
200.0,200,30.988861
200.0,200,31.077463
200.0,200,31.166467
200.0,200,31.25485
200.0,200,31.712456
200.0,200,31.810427
200.0,200,31.893235
200.0,200,31.976963
200.0,200,32.064656
200.0,200,32.151013
200.0,200,32.612655
200.0,200,32.694482
200.0,200,32.777927
200.0,200,32.863509
200.0,200,32.950899
200.0,200,33.422441
200.0,200,33.502877
200.0,200,33.581048
200.0,200,33.661736
200.0,200,33.74248
200.0,200,34.200456
200.0,200,34.285817
200.0,200,34.361295
200.0,200,34.440621
200.0,200,34.518737
200.0,200,34.986805
200.0,200,35.069928
200.0,200,35.149358
200.0,200,35.231068
200.0,200,35.311398
200.0,200,35.752104
200.0,200,35.849823
200.0,200,35.931748
95.0,95,35.968651
200.0,200,36.047049
200.0,200,36.124427
200.0,200,36.564615
200.0,200,36.659564
47.0,47,36.67843
200.0,200,36.764215
200.0,200,36.849737
200.0,200,36.938806
200.0,200,37.476249
200.0,200,37.559742
200.0,200,37.638549
200.0,200,37.717569
200.0,200,37.79674
41.0,41,38.149194
200.0,200,38.247249
200.0,200,38.324298
200.0,200,38.407937
200.0,200,38.490175
200.0,200,38.575375
200.0,200,39.027624
200.0,200,39.104307
200.0,200,39.178465
200.0,200,39.256876
200.0,200,39.333256
200.0,200,39.771014
200.0,200,39.866182
200.0,200,39.941685
200.0,200,40.023096
200.0,200,40.114901
200.0,200,40.570465
200.0,200,40.659345
200.0,200,40.737487
200.0,200,40.817635
200.0,200,40.898593
200.0,200,41.387219
200.0,200,41.483624
200.0,200,41.582602
200.0,200,41.680234
200.0,200,41.77092
200.0,200,42.214921
200.0,200,42.31028
200.0,200,42.403006
200.0,200,42.492413
200.0,200,42.579174
200.0,200,43.032201
200.0,200,43.120946
200.0,200,43.204602
96.0,96,43.249583
200.0,200,43.340924
200.0,200,43.435226
200.0,200,43.901976
200.0,200,43.981226
200.0,200,44.06394
200.0,200,44.142081
200.0,200,44.226578
200.0,200,44.695798
200.0,200,44.776186
200.0,200,44.857789
200.0,200,44.933055
200.0,200,45.015443
200.0,200,45.450131
200.0,200,45.533545
200.0,200,45.619517
200.0,200,45.705765
200.0,200,45.793608
200.0,200,46.292523
200.0,200,46.408985
200.0,200,46.526906
200.0,200,46.622173
200.0,200,46.713535
200.0,200,47.187881
200.0,200,47.27661
200.0,200,47.352823
200.0,200,47.426395
200.0,200,47.512627
200.0,200,47.957431
200.0,200,48.042303
200.0,200,48.121377
200.0,200,48.194796
200.0,200,48.27583
200.0,200,48.349055
98.0,98,48.758564
200.0,200,48.837712
200.0,200,48.91887
200.0,200,48.993505
200.0,200,49.0771
200.0,200,49.532321
200.0,200,49.60986
200.0,200,49.692811
200.0,200,49.770056
200.0,200,49.854438
200.0,200,50.305141
200.0,200,50.390377
200.0,200,50.479505
200.0,200,50.563753
200.0,200,50.654348
200.0,200,51.119471
200.0,200,51.196736
200.0,200,51.283081
200.0,200,51.358744
200.0,200,51.440636
200.0,200,51.520759
200.0,200,51.976579
200.0,200,52.057578
200.0,200,52.141435
200.0,200,52.230443
200.0,200,52.322386
200.0,200,52.781083
200.0,200,52.856926
200.0,200,52.933491
200.0,200,53.009773
200.0,200,53.086665
200.0,200,53.532224
200.0,200,53.627087
200.0,200,53.723042
200.0,200,53.812824
200.0,200,53.888774
200.0,200,54.356725
200.0,200,54.446525
200.0,200,54.536972
200.0,200,54.619164
200.0,200,54.70688
200.0,200,55.177388
200.0,200,55.265327
200.0,200,55.355849
200.0,200,55.4445
140.0,140,55.499555
200.0,200,55.929065
200.0,200,56.005287
200.0,200,56.090309
200.0,200,56.180836
200.0,200,56.25581
200.0,200,56.331002
200.0,200,56.800461
200.0,200,56.897551
200.0,200,56.994862
200.0,200,57.07009
200.0,200,57.148572
200.0,200,57.591038
200.0,200,57.674009
200.0,200,57.764723
200.0,200,57.844332
200.0,200,57.922393
200.0,200,58.372346
200.0,200,58.462254
200.0,200,58.54123
200.0,200,58.619925
200.0,200,58.696426
200.0,200,59.121454
200.0,200,59.196362
200.0,200,59.275287
200.0,200,59.363715
200.0,200,59.443233
200.0,200,59.870827
200.0,200,59.955698
200.0,200,60.044899
200.0,200,60.131145
200.0,200,60.222646
200.0,200,60.657931
200.0,200,60.73998
200.0,200,60.815996
200.0,200,60.899132
200.0,200,60.989393
200.0,200,61.40924
200.0,200,61.48832
200.0,200,61.567097
200.0,200,61.645783
200.0,200,61.724492
200.0,200,62.145941
200.0,200,62.220603
200.0,200,62.300692
200.0,200,62.375526
200.0,200,62.451273
200.0,200,62.880379
187.0,187,62.965075
200.0,200,63.05759
200.0,200,63.15072
200.0,200,63.243273
200.0,200,63.323241
130.0,130,63.796371
200.0,200,63.887926
200.0,200,63.987539
168.0,168,64.071478
200.0,200,64.171189
200.0,200,64.650272
200.0,200,64.742277
200.0,200,64.827763
200.0,200,64.918188
200.0,200,65.002814
200.0,200,65.44101
200.0,200,65.528644
200.0,200,65.619113
200.0,200,65.701747
200.0,200,65.804245
200.0,200,65.90539
200.0,200,66.341628
200.0,200,66.420776
200.0,200,66.498067
200.0,200,66.578833
200.0,200,66.680131
200.0,200,67.110534
200.0,200,67.192114
200.0,200,67.274342
200.0,200,67.358664
200.0,200,67.440372
200.0,200,67.887991
200.0,200,67.96255
82.0,82,67.992769
200.0,200,68.071485
200.0,200,68.149537
140.0,140,68.204275
200.0,200,68.643474
200.0,200,68.721563
200.0,200,68.797107
200.0,200,68.874123
200.0,200,68.950203
200.0,200,69.390852
200.0,200,69.47219
200.0,200,69.556005
200.0,200,69.633838
200.0,200,69.712813
200.0,200,70.15753
200.0,200,70.233398
200.0,200,70.327188
200.0,200,70.404357
200.0,200,70.487293
200.0,200,70.926533
200.0,200,71.016516
200.0,200,71.105799
170.0,170,71.181511
200.0,200,71.271841
200.0,200,71.720778
200.0,200,71.795581
200.0,200,71.880197
200.0,200,71.95945
200.0,200,72.036778
200.0,200,72.116055
200.0,200,72.545584
200.0,200,72.62215
200.0,200,72.705851
200.0,200,72.800699
200.0,200,72.894741
200.0,200,73.354158
200.0,200,73.429291
200.0,200,73.513725
200.0,200,73.588396
200.0,200,73.665767
200.0,200,74.101539
200.0,200,74.197606
200.0,200,74.293693
200.0,200,74.385375
200.0,200,74.488379
200.0,200,74.975483
200.0,200,75.062279
200.0,200,75.147801
200.0,200,75.23326
200.0,200,75.318189
200.0,200,75.752975
200.0,200,75.83162
200.0,200,75.907374
200.0,200,75.998435
200.0,200,76.073615
200.0,200,76.597509
200.0,200,76.680229
200.0,200,76.764398
200.0,200,76.848427
200.0,200,76.927277
200.0,200,77.392995
200.0,200,77.4783
200.0,200,77.560854
200.0,200,77.663605
200.0,200,77.749533
200.0,200,78.21666
200.0,200,78.305808
200.0,200,78.388591
200.0,200,78.474077
200.0,200,78.558989
161.0,161,78.627396
200.0,200,79.083383
200.0,200,79.163484
200.0,200,79.24441
200.0,200,79.325727
200.0,200,79.410532
