meankl,surrgain,EpLenMean,TimeElapsed,optimgain,EpisodesSoFar,entropy,EpRewMean,EpThisIter,ev_tdlam_before,TimestepsSoFar,entloss
0.00086556724,0.0063481247,197.125,33.804935693740845,0.0063481247,608,0.5685931,197.125,6,0.39402639865875244,64477,0.0
0.0006618799,0.0032380042,197.125,34.33049750328064,0.0032380042,613,0.5982071,197.125,5,0.27086150646209717,65477,0.0
0.0009774193,0.010860691,197.675,34.833205461502075,0.010860691,618,0.5786893,197.675,5,0.24721133708953857,66451,0.0
0.00070532796,0.0077033984,197.7,35.34351062774658,0.0077033984,623,0.56362236,197.7,5,0.02796381711959839,67432,0.0
0.00090370234,0.007493707,197.7,35.87510561943054,0.007493707,628,0.5809299,197.7,5,0.29809850454330444,68432,0.0
0.00076027884,0.0051835706,197.2,36.39355778694153,0.0051835706,634,0.5779075,197.2,6,0.227450430393219,69604,0.0
0.0007893172,0.0040151644,197.2,36.904412508010864,0.0040151644,639,0.5960429,197.2,5,0.19037383794784546,70604,0.0
0.00073514425,0.0048857643,197.875,37.40509271621704,0.0048857643,644,0.5864519,197.875,5,0.4106227159500122,71604,0.0
0.0008912079,0.006494907,198.175,37.92941236495972,0.006494907,649,0.57378805,198.175,5,0.16389703750610352,72604,0.0
0.00075032056,0.005402103,197.525,38.44744539260864,0.005402103,654,0.5722047,197.525,5,0.08388447761535645,73578,0.0
0.000698526,0.0056649363,198.175,38.95432233810425,0.0056649363,659,0.5638189,198.175,5,0.20288074016571045,74578,0.0
0.0006619417,0.007054681,198.65,39.47923755645752,0.007054681,664,0.5786042,198.65,5,0.23006373643875122,75578,0.0
0.0006317499,0.0046863803,198.05,40.04097008705139,0.0046863803,670,0.5566409,198.05,6,0.1568029522895813,76754,0.0
0.00081585004,0.0058289645,198.275,40.56603956222534,0.0058289645,675,0.59151673,198.275,5,0.0824657678604126,77735,0.0
0.00053035334,0.0029547461,198.275,41.047609090805054,0.0029547461,680,0.56905204,198.275,5,0.038650453090667725,78735,0.0
0.0006451905,0.0051067607,197.8,41.531275510787964,0.0051067607,685,0.5838274,197.8,5,0.24755889177322388,79716,0.0
0.00064502505,0.0058129802,197.8,42.020503759384155,0.0058129802,690,0.57723165,197.8,5,-0.27445173263549805,80716,0.0
0.0008407434,0.0041005737,197.925,42.52416491508484,0.0041005737,696,0.569926,197.925,6,0.09388923645019531,81895,0.0
0.00078858674,0.007417329,197.925,43.06718111038208,0.007417329,701,0.56859183,197.925,5,0.09626686573028564,82895,0.0
0.0006338561,0.0030291672,197.925,43.56722593307495,0.0030291672,706,0.58413374,197.925,5,0.1184619665145874,83895,0.0
0.00071716827,0.007389444,197.3,44.13599610328674,0.007389444,711,0.562363,197.3,5,-0.012850522994995117,84846,0.0
0.00062122766,0.0053227507,197.775,44.65658450126648,0.0053227507,716,0.5940604,197.775,5,0.23061388731002808,85846,0.0
0.00073023007,0.004027476,198.25,45.19138026237488,0.004027476,721,0.5751064,198.25,5,0.15841269493103027,86846,0.0
0.0008411305,0.0077954857,198.25,45.71178197860718,0.0077954857,727,0.56676763,198.25,6,0.22369909286499023,88046,0.0
0.00092002866,0.0053504114,198.25,46.2423837184906,0.0053504114,732,0.5891237,198.25,5,-0.02609550952911377,89046,0.0
0.000743689,0.0023108162,198.775,46.75346064567566,0.0023108162,737,0.5866891,198.775,5,0.290554404258728,90046,0.0
0.0006814761,0.004143988,198.775,47.281434059143066,0.004143988,742,0.5804911,198.775,5,0.10877454280853271,91046,0.0
0.00076549395,0.0053294413,198.775,47.801286935806274,0.0053294413,747,0.5699505,198.775,5,0.15558481216430664,92046,0.0
0.00053850026,0.0035230983,200.0,48.32003951072693,0.0035230983,752,0.56876326,200.0,5,0.035943686962127686,93046,0.0
0.0005435144,0.0051175263,200.0,48.85759210586548,0.0051175263,757,0.59152865,200.0,5,0.27934712171554565,94046,0.0
0.0008332244,0.0046524634,200.0,49.38379764556885,0.0046524634,762,0.5777671,200.0,5,0.20955342054367065,95046,0.0
0.0006357883,0.005813471,200.0,49.91488528251648,0.005813471,768,0.57456154,200.0,6,0.17728805541992188,96246,0.0
0.00085273513,0.0027631703,200.0,50.4568657875061,0.0027631703,773,0.5818135,200.0,5,0.2761904001235962,97246,0.0
0.0007889756,0.0069265175,200.0,50.957576513290405,0.0069265175,778,0.58550143,200.0,5,0.1745312213897705,98246,0.0
0.00045003387,0.005546518,200.0,51.48725914955139,0.005546518,783,0.5868453,200.0,5,0.2804926037788391,99246,0.0
0.00077148096,0.0060287854,198.15,51.9785692691803,0.0060287854,788,0.573019,198.15,5,0.3533779978752136,100172,0.0
