meankl,entloss,surrgain,optimgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,TimeElapsed,EpLenMean,EpRewMean,EpisodesSoFar,entropy
0.0009125571,0.0,0.0059518316,0.0059518316,50,1020,-0.0010161399841308594,0.6496293544769287,20.775,20.775,50,0.6921766
0.0010444297,0.0,0.008765271,0.008765271,43,2040,0.2561700940132141,1.1864542961120605,23.55,23.55,93,0.68941057
0.00094378076,0.0,0.009852655,0.009852655,40,3061,0.28203845024108887,1.7556934356689453,25.525,25.525,133,0.68504673
0.0010080705,0.0,0.008146578,0.008146578,35,4090,0.27299606800079346,2.286806583404541,28.6,28.6,168,0.67956567
0.0009436341,0.0,0.008493407,0.008493407,32,5115,0.16614598035812378,2.800823926925659,30.675,30.675,200,0.67209536
0.0010170483,0.0,0.008196727,0.008196727,23,6110,0.24596643447875977,3.3719592094421387,39.625,39.625,223,0.6658281
0.0009780977,0.0,0.00849206,0.00849206,24,7162,0.4023381471633911,3.941319227218628,42.075,42.075,247,0.6563052
0.000933017,0.0,0.007676015,0.007676015,20,8189,0.25573408603668213,4.459888935089111,48.25,48.25,267,0.6447849
0.0009338909,0.0,0.007889176,0.007889176,20,9174,0.19362986087799072,5.0576090812683105,50.3,50.3,287,0.63616
0.0010697055,0.0,0.0074922033,0.0074922033,13,10053,0.15230154991149902,5.6546924114227295,55.125,55.125,300,0.6271934
0.0007240171,0.0,0.004832183,0.004832183,9,11192,0.27718067169189453,6.181229114532471,73.7,73.7,309,0.62955964
0.0008758168,0.0,0.006537586,0.006537586,10,12269,0.32610780000686646,6.746878623962402,88.575,88.575,319,0.6115918
