meankl,EpisodesSoFar,EpLenMean,optimgain,entropy,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpRewMean,EpThisIter,entloss,surrgain
0.00046058488,615,185.95,0.0069905985,0.5880247,0.11037790775299072,35.21349048614502,66390,185.95,5,0.0029401232,0.0040504755
0.0007172884,620,186.55,0.005243422,0.5824492,0.07822924852371216,35.72146129608154,67390,186.55,5,0.002912246,0.002331176
0.0005189453,626,190.125,0.006472987,0.58529764,0.0030083060264587402,36.26674675941467,68590,190.125,6,0.0029264882,0.0035464992
0.0008688041,631,190.8,0.0059333867,0.5886967,0.0409855842590332,36.8317334651947,69590,190.8,5,0.0029434834,0.0029899033
0.0008526929,636,192.3,0.006137455,0.59364355,0.1817529797554016,37.35976767539978,70590,192.3,5,0.0029682177,0.0031692372
0.0005612848,641,195.95,0.0056006494,0.5758868,0.1274738311767578,37.874274253845215,71590,195.95,5,0.0028794338,0.0027212156
0.0003858913,646,197.95,0.006759949,0.59037185,0.007274031639099121,38.42021155357361,72590,197.95,5,0.0029518593,0.00380809
0.0006396597,651,199.525,0.009420408,0.58063126,0.04178851842880249,38.950350522994995,73590,199.525,5,0.0029031562,0.0065172515
0.0008924471,656,200.0,0.0067759664,0.5896235,0.01690429449081421,39.49634337425232,74590,200.0,5,0.0029481174,0.003827849
0.0008178198,662,198.0,0.007852675,0.5670211,-0.03455209732055664,40.06571888923645,75710,198.0,6,0.0028351054,0.0050175698
0.00073099555,667,198.0,0.0055263913,0.589957,-0.04463911056518555,40.64052987098694,76710,198.0,5,0.002949785,0.0025766063
0.00074821047,672,198.0,0.00688796,0.59786576,0.030598759651184082,41.15004205703735,77710,198.0,5,0.0029893287,0.003898631
0.0006458503,677,198.0,0.006225837,0.59486437,0.06256371736526489,41.695841550827026,78710,198.0,5,0.0029743218,0.003251515
0.0007859773,682,197.375,0.008022895,0.5829211,0.04270124435424805,42.238760232925415,79685,197.375,5,0.0029146054,0.0051082894
0.0003696957,688,197.375,0.0049018133,0.5928854,0.06027883291244507,42.76017355918884,80885,197.375,6,0.0029644268,0.0019373866
0.0006926312,693,197.375,0.0071887113,0.5815293,0.21665704250335693,43.31006360054016,81885,197.375,5,0.0029076466,0.004281065
0.00086541974,698,197.375,0.006587998,0.6028862,0.09363573789596558,43.83500289916992,82885,197.375,5,0.0030144309,0.003573567
0.0008313549,704,195.4,0.010197721,0.5797039,0.06955820322036743,44.36413598060608,83926,195.4,6,0.0028985196,0.0072992016
0.00079841365,709,195.4,0.00737549,0.5901431,0.08789056539535522,44.941189765930176,84926,195.4,5,0.0029507154,0.0044247746
0.00076950353,714,194.575,0.005946592,0.60365784,0.39030683040618896,45.45459818840027,85893,194.575,5,0.003018289,0.0029283029
0.0007052993,720,190.525,0.0077938205,0.56794286,0.019429266452789307,45.967485427856445,86906,190.525,6,0.0028397143,0.004954106
0.0005145367,725,190.525,0.006184928,0.5763898,0.10449916124343872,46.51266407966614,87906,190.525,5,0.0028819488,0.0033029793
0.0007933659,730,190.525,0.0071343677,0.58469397,0.11105352640151978,47.0711236000061,88906,190.525,5,0.0029234698,0.0042108977
0.00080334255,736,190.525,0.0060301563,0.5891285,0.03992795944213867,47.61210083961487,90106,190.525,6,0.0029456425,0.0030845138
0.00067999493,741,194.5,0.0057610674,0.5881704,0.20373117923736572,48.151360750198364,91106,194.5,5,0.002940852,0.0028202152
0.0009061931,746,194.5,0.0068368157,0.59886265,0.2185889482498169,48.67274761199951,92106,194.5,5,0.0029943131,0.0038425026
0.00097386754,751,194.5,0.007635641,0.59936273,0.2173951268196106,49.23277997970581,93106,194.5,5,0.0029968135,0.0046388274
0.0007273626,756,195.325,0.0060198363,0.58802116,0.11168479919433594,49.803730487823486,94106,195.325,5,0.0029401057,0.0030797306
0.0007229226,761,200.0,0.0062707094,0.6086091,0.1248406171798706,50.37062907218933,95106,200.0,5,0.0030430453,0.003227664
0.0009608753,768,193.7,0.010744709,0.5747622,0.31550347805023193,50.91242241859436,96254,193.7,7,0.0028738112,0.007870898
0.00081797584,773,193.6,0.0053557716,0.6023433,0.2565183639526367,51.44707655906677,97250,193.6,5,0.0030117165,0.002344055
0.0006973853,778,193.6,0.006625761,0.59149265,0.17946112155914307,51.945481061935425,98250,193.6,5,0.0029574633,0.0036682975
0.00074191135,783,190.65,0.0065336023,0.590256,0.19534903764724731,52.4494903087616,99132,190.65,5,0.0029512797,0.0035823225
0.00085302244,789,190.65,0.007072049,0.5959142,0.41644948720932007,53.007776498794556,100332,190.65,6,0.0029795708,0.0040924787
