entropy,EpThisIter,ev_tdlam_before,optimgain,EpRewMean,EpisodesSoFar,entloss,TimestepsSoFar,meankl,surrgain,EpLenMean,TimeElapsed
0.51388234,6,0.5539514720439911,0.008678683,197.525,632,0.0,91136,0.0037949113,0.008678683,197.525,49.40923857688904
0.51317227,5,0.48281216621398926,0.008418561,197.525,637,0.0,92136,0.0036829808,0.008418561,197.525,49.989649057388306
0.4983391,5,0.6513467729091644,0.013367151,197.525,642,0.0,93136,0.0055205813,0.013367151,197.525,50.52290177345276
0.52266246,5,0.5815088152885437,0.006345713,197.525,647,0.0,94136,0.0054348456,0.006345713,197.525,51.07079291343689
0.51319647,5,0.2983388304710388,0.010294711,197.525,652,0.0,95136,0.004325819,0.010294711,197.525,51.633103370666504
0.5536768,5,0.6157774329185486,0.0048151575,200.0,657,0.0,96136,0.002540315,0.0048151575,200.0,52.138097047805786
0.52473366,5,0.6283491551876068,0.013713158,200.0,662,0.0,97136,0.0037592591,0.013713158,200.0,52.663599491119385
0.5290587,5,0.6622267067432404,0.008286591,200.0,667,0.0,98136,0.0036302162,0.008286591,200.0,53.23515868186951
0.5280602,6,0.6640413403511047,0.010778872,199.8,673,0.0,99328,0.004022346,0.010778872,199.8,53.7958722114563
0.5090622,5,0.730150431394577,0.012725147,199.8,678,0.0,100328,0.0036436352,0.012725147,199.8,54.30888295173645
