EpRewMean,entropy,EpThisIter,TimestepsSoFar,EpisodesSoFar,meankl,ev_tdlam_before,TimeElapsed,surrgain,entloss,optimgain,EpLenMean
20.325,0.6922032,46,1013,46,0.00090724835,0.0003966093063354492,0.7104754447937012,0.0056738215,0.0,0.0056738215,20.325
26.975,0.6900413,38,2022,84,0.0009119211,0.0023825764656066895,1.3187267780303955,0.0068713985,0.0,0.0068713985,26.975
26.575,0.6854794,39,3069,123,0.001064772,-0.008353352546691895,1.9274005889892578,0.008674092,0.0,0.008674092,26.575
27.575,0.6798383,36,4069,159,0.0009527119,0.016061007976531982,2.4811692237854004,0.010334498,0.0,0.010334498,27.575
31.525,0.67285186,32,5053,191,0.00091697264,0.0006028413772583008,3.018427848815918,0.0073971106,0.0,0.0073971106,31.525
37.025,0.66566753,27,6111,218,0.000931276,-0.0024062395095825195,3.5567679405212402,0.00903717,0.0,0.00903717,37.025
43.975,0.6570394,18,7083,236,0.00096417335,0.01186680793762207,4.1424031257629395,0.0072992668,0.0,0.0072992668,43.975
50.625,0.64226604,23,8180,259,0.0010236595,0.007926762104034424,4.6990344524383545,0.0074885474,0.0,0.0074885474,50.625
56.025,0.64330125,15,9212,274,0.0009360494,0.010491609573364258,5.236086845397949,0.006857118,0.0,0.006857118,56.025
63.725,0.63487613,15,10217,289,0.00091976207,0.0007423162460327148,5.72928786277771,0.009542276,0.0,0.009542276,63.725
69.475,0.6241165,14,11223,303,0.0008514316,0.0070209503173828125,6.302161693572998,0.007658529,0.0,0.007658529,69.475
74.0,0.61997116,12,12287,315,0.00062721566,0.006895184516906738,6.800026178359985,0.0049076304,0.0,0.0049076304,74.0
81.975,0.61756766,8,13164,323,0.00075159466,0.005669236183166504,7.413480758666992,0.005710508,0.0,0.005710508,81.975
96.275,0.6147677,9,14299,332,0.00070745253,0.011248528957366943,7.946226358413696,0.0059466898,0.0,0.0059466898,96.275
107.45,0.6172155,7,15263,339,0.0007274274,0.01060497760772705,8.483591556549072,0.007426535,0.0,0.007426535,107.45
118.725,0.6081751,9,16380,348,0.0008006057,0.008107364177703857,9.054692268371582,0.004838219,0.0,0.004838219,118.725
127.5,0.6134161,5,17240,353,0.00061863835,0.01976454257965088,9.645442485809326,0.004881707,0.0,0.004881707,127.5
137.075,0.6190746,7,18244,360,0.00081597606,0.024549543857574463,10.243906736373901,0.005220428,0.0,0.005220428,137.075
143.175,0.62121665,6,19338,366,0.00076365285,0.08947402238845825,10.817032098770142,0.006393386,0.0,0.006393386,143.175
152.125,0.6211239,5,20338,371,0.0007593781,0.00019747018814086914,11.412336826324463,0.00272747,0.0,0.00272747,152.125
160.575,0.60540813,6,21420,377,0.00080339005,0.017138004302978516,11.963982105255127,0.0062574022,0.0,0.0062574022,160.575
158.275,0.5940552,8,22445,385,0.00088225526,0.18655502796173096,12.512481451034546,0.0060297195,0.0,0.0060297195,158.275
164.275,0.5949659,6,23428,391,0.0006818541,0.0889897346496582,13.07996416091919,0.005983646,0.0,0.005983646,164.275
167.4,0.60023326,6,24562,397,0.0008014636,0.038125693798065186,13.653274536132812,0.0073416494,0.0,0.0073416494,167.4
168.6,0.6039421,6,25537,403,0.0007260942,-0.0033104419708251953,14.21869969367981,0.0044566393,0.0,0.0044566393,168.6
163.0,0.5891484,6,26458,409,0.00059918914,-0.003441452980041504,14.75485110282898,0.006045265,0.0,0.006045265,163.0
160.75,0.59735787,6,27551,415,0.0007498679,0.12316501140594482,15.347404479980469,0.004374736,0.0,0.004374736,160.75
165.725,0.6053513,5,28551,420,0.0007971163,0.06304556131362915,15.938197612762451,0.005096883,0.0,0.005096883,165.725
176.325,0.5942586,6,29672,426,0.0008272496,0.0025322437286376953,16.46229910850525,0.0046115792,0.0,0.0046115792,176.325
178.55,0.5879606,5,30570,431,0.00053250795,0.15155047178268433,17.032113790512085,0.007297626,0.0,0.007297626,178.55
178.4,0.6053208,6,31698,437,0.0007555416,0.0940672755241394,17.60556650161743,0.0049712886,0.0,0.0049712886,178.4
179.275,0.6015703,6,32708,443,0.00060494285,0.18925929069519043,18.138723850250244,0.0044822656,0.0,0.0044822656,179.275
180.9,0.5932216,6,33694,449,0.00072400086,0.08019202947616577,18.65359878540039,0.0056533106,0.0,0.0056533106,180.9
