EpRewMean,entloss,entropy,EpLenMean,ev_tdlam_before,meankl,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed,surrgain,optimgain
171.15,0.059996437,0.5999644,171.15,0.025106310844421387,0.0007532616,5,669,74591,40.48692035675049,0.003394362,0.0633908
172.075,0.060371555,0.60371554,172.075,-0.032908082008361816,0.0006972239,5,674,75591,41.05887794494629,0.003530737,0.06390229
171.575,0.05967058,0.5967058,171.575,-0.0025916099548339844,0.0007570601,6,680,76712,41.57878541946411,0.0053574042,0.06502798
172.85,0.05871761,0.5871761,172.85,-0.12380373477935791,0.0008921813,7,687,77792,42.11624097824097,0.006541911,0.065259516
178.925,0.06200592,0.6200592,178.925,-0.0001513957977294922,0.0009739235,5,692,78792,42.68497371673584,0.0013529048,0.06335882
181.0,0.061111968,0.6111197,181.0,0.031794071197509766,0.00056265976,6,698,79794,43.276957511901855,0.004227976,0.065339945
176.825,0.05981661,0.5981661,176.825,0.05888235569000244,0.000694799,7,705,80864,43.823646783828735,0.0048449454,0.064661555
176.825,0.06252487,0.6252487,176.825,0.05171436071395874,0.0008317076,5,710,81864,44.35963487625122,0.0020747818,0.06459965
166.425,0.05939653,0.5939653,166.425,0.04434996843338013,0.00082920096,7,717,82840,44.949522256851196,0.008655771,0.0680523
173.65,0.06144122,0.6144122,173.65,0.09903854131698608,0.0007322915,5,722,83840,45.52173066139221,0.003696191,0.06513741
163.975,0.059571315,0.59571314,163.975,0.08278262615203857,0.0008037214,8,730,84951,46.051063537597656,0.005381089,0.0649524
159.9,0.061415024,0.6141502,159.9,-0.2109971046447754,0.00074757653,7,737,85990,46.602890968322754,0.005283105,0.06669813
159.2,0.062137526,0.62137526,159.2,0.029559791088104248,0.00062210835,6,743,86978,47.16245913505554,0.0046376367,0.066775165
151.6,0.060091913,0.6009191,151.6,0.028691887855529785,0.00063745875,7,750,87928,47.715909481048584,0.0068386886,0.0669306
150.125,0.05996371,0.5996371,150.125,0.022581398487091064,0.00062956,8,758,89045,48.277589082717896,0.005076516,0.06504022
