EpLenMean,optimgain,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,meankl,surrgain,entropy,ev_tdlam_before,TimestepsSoFar,EpThisIter
21.45,0.0060560657,45,21.45,0.5598654747009277,0.0,0.00090309756,0.0060560657,0.6922889,0.0023669004440307617,1024,45
25.175,0.005725325,84,25.175,1.0085368156433105,0.0,0.0010430651,0.005725325,0.6895745,0.0016118884086608887,2014,39
28.975,0.006847308,117,28.975,1.4962728023529053,0.0,0.0009948766,0.006847308,0.6856022,-0.0002815723419189453,3034,33
27.125,0.010402994,154,27.125,1.9606378078460693,0.0,0.0010233867,0.010402994,0.678472,0.0010794401168823242,4070,37
26.75,0.007302839,193,26.75,2.4587743282318115,0.0,0.0009592029,0.007302839,0.6703055,0.003814697265625,5116,39
31.65,0.008528145,219,31.65,2.942354679107666,0.0,0.0009669951,0.008528145,0.66666484,0.0009960532188415527,6127,26
41.575,0.0076300437,244,41.575,3.4108712673187256,0.0,0.0010153798,0.0076300437,0.65571713,-0.007618308067321777,7159,25
47.275,0.0060891574,263,47.275,3.937790870666504,0.0,0.0009361709,0.0060891574,0.6490224,-0.006969451904296875,8171,19
55.325,0.0077473107,278,55.325,4.3811116218566895,0.0,0.0008698812,0.0077473107,0.64560485,-0.003824591636657715,9165,15
64.775,0.008400274,293,64.775,4.902599096298218,0.0,0.000980274,0.008400274,0.6360549,0.006990015506744385,10194,15
70.525,0.006974248,307,70.525,5.399894714355469,0.0,0.0008931295,0.006974248,0.61976564,0.004237353801727295,11246,14
78.125,0.005349609,317,78.125,5.880479574203491,0.0,0.00081026583,0.005349609,0.626012,0.0033355355262756348,12261,10
90.175,0.0060423017,325,90.175,6.430371046066284,0.0,0.0008252824,0.0060423017,0.6186038,-0.008212924003601074,13222,8
104.125,0.0061693285,331,104.125,6.966050148010254,0.0,0.0010533929,0.0061693285,0.6315348,0.015261352062225342,14206,6
116.025,0.0065714354,339,116.025,7.460374355316162,0.0,0.00087294856,0.0065714354,0.61292076,0.026833534240722656,15358,8
127.925,0.0038645898,345,127.925,7.994648694992065,0.0,0.0007918264,0.0038645898,0.6192209,0.018275976181030273,16188,6
141.125,0.006908847,353,141.125,8.463166236877441,0.0,0.00084907387,0.006908847,0.59760475,0.02574169635772705,17378,8
148.05,0.0046988856,359,148.05,8.948125123977661,0.0,0.0008097559,0.0046988856,0.618693,0.025287508964538574,18421,6
148.45,0.008573046,366,148.45,9.464120626449585,0.0,0.0007710991,0.008573046,0.6161284,0.00982367992401123,19305,7
147.6,0.00534767,373,147.6,9.923324346542358,0.0,0.0007104941,0.00534767,0.60718155,0.029247164726257324,20477,7
151.7,0.0049203644,378,151.7,10.376110792160034,0.0,0.00050297764,0.0049203644,0.5935403,0.0069732666015625,21366,5
157.875,0.005785043,384,157.875,10.845832824707031,0.0,0.00064018584,0.005785043,0.61269665,0.014522194862365723,22460,6
163.25,0.004328532,389,163.25,11.32925820350647,0.0,0.0008136858,0.004328532,0.60541785,0.00934213399887085,23460,5
168.825,0.006404042,395,168.825,11.848511695861816,0.0,0.000617987,0.006404042,0.5961357,0.010944664478302002,24523,6
173.6,0.004642957,400,173.6,12.347172260284424,0.0,0.00070633634,0.004642957,0.6052997,0.01587069034576416,25495,5
180.125,0.004134299,405,180.125,12.864357233047485,0.0,0.0006250327,0.004134299,0.59917367,0.006139934062957764,26461,5
184.2,0.008636098,411,184.2,13.377252101898193,0.0,0.00083117257,0.008636098,0.6089334,0.006132781505584717,27537,6
187.125,0.0037240537,417,187.125,13.86977767944336,0.0,0.0004547636,0.0037240537,0.6006707,0.0016701221466064453,28651,6
187.825,0.006393261,422,187.825,14.428438425064087,0.0,0.0007829349,0.006393261,0.5975642,0.008192300796508789,29606,5
185.775,0.0040121283,428,185.775,14.92185664176941,0.0,0.00031145092,0.0040121283,0.5844177,-0.00347900390625,30691,6
186.825,0.0043864907,433,186.825,15.421278238296509,0.0,0.00066875,0.0043864907,0.5794796,0.0017922520637512207,31663,5
188.0,0.0033404692,438,188.0,15.959705352783203,0.0,0.00050898665,0.0033404692,0.5998068,-0.0014493465423583984,32632,5
189.175,0.0048053702,443,189.175,16.485177516937256,0.0,0.00082992704,0.0048053702,0.5936882,-0.0021973848342895508,33628,5
189.6,0.005350898,449,189.6,17.01349449157715,0.0,0.0007067966,0.005350898,0.59828013,0.001339256763458252,34777,6
191.725,0.0040864316,454,191.725,17.530131816864014,0.0,0.00082666765,0.0040864316,0.6066145,0.001977264881134033,35777,5
193.15,0.0027995934,459,193.15,17.977335691452026,0.0,0.0007677723,0.0027995934,0.5945765,-0.00018894672393798828,36777,5
194.2,0.004983845,464,194.2,18.46133518218994,0.0,0.00080292905,0.004983845,0.58887446,0.01146388053894043,37747,5
196.4,0.0040264404,469,196.4,18.938121557235718,0.0,0.0005306995,0.0040264404,0.59796584,0.0018383264541625977,38747,5
197.025,0.0032202378,474,197.025,19.425671339035034,0.0,0.0007233169,0.0032202378,0.592327,0.0014647841453552246,39744,5
