total_timesteps,value_loss,nupdates,policy_entropy,explained_variance,fps
55500,0.00778536219149828,11100,0.48038750886917114,-148.47000122070312,1081
56000,0.001560213859193027,11200,0.6527830362319946,-624.0620727539062,1081
56500,5761.2001953125,11300,0.540869414806366,-0.0017718076705932617,1081
57000,0.0003674081526696682,11400,0.6206854581832886,-362.1927185058594,1082
57500,0.00035713284160010517,11500,0.6335278749465942,-94.67048645019531,1082
58000,0.0012476783012971282,11600,0.5685557126998901,-32.63224792480469,1082
58500,0.0007243102882057428,11700,0.5469213724136353,-1.3035988807678223,1082
59000,3833.857421875,11800,0.40854954719543457,-0.00041556358337402344,1082
59500,0.005673644598573446,11900,0.5455427169799805,-19.57642364501953,1083
60000,1930.946044921875,12000,0.4922999441623688,0.0008458495140075684,1083
60500,0.0031100872438400984,12100,0.6023949384689331,-0.9013444185256958,1083
61000,1905.215087890625,12200,0.43564143776893616,0.005109846591949463,1083
61500,0.0015835219528526068,12300,0.555586040019989,0.6510234177112579,1083
62000,0.008706468157470226,12400,0.5739609599113464,0.46214061975479126,1083
62500,0.0005990747595205903,12500,0.5450617074966431,0.5979822278022766,1083
63000,0.025015762075781822,12600,0.6745308637619019,-9.316831588745117,1083
63500,7053.37890625,12700,0.5775398015975952,0.04939162731170654,1083
64000,0.019231464713811874,12800,0.44686785340309143,-4.3233137130737305,1084
64500,0.00025449474924243987,12900,0.6694921255111694,-1.7613134384155273,1084
65000,0.003441447392106056,13000,0.671676754951477,-3.239992618560791,1084
65500,0.0025599515065550804,13100,0.6677384972572327,-14.655929565429688,1084
66000,0.02073756605386734,13200,0.4474237561225891,-9.279072761535645,1085
66500,0.017789039760828018,13300,0.6143991947174072,-62.98224639892578,1085
67000,0.0006921496824361384,13400,0.6416002511978149,-9.429919242858887,1085
67500,0.02270638383924961,13500,0.47846388816833496,-17403.517578125,1086
68000,0.02175852656364441,13600,0.5929347276687622,-299.8477478027344,1087
68500,0.00225690845400095,13700,0.6620556116104126,-5906.57568359375,1088
69000,0.0019572663586586714,13800,0.5594567060470581,-172.03253173828125,1088
69500,0.0007517383201047778,13900,0.6464124917984009,-259.69927978515625,1088
70000,0.0039335256442427635,14000,0.6621792912483215,-2801.339599609375,1088
70500,0.0005977816181257367,14100,0.43479984998703003,-40.03912353515625,1088
71000,0.00016637884255032986,14200,0.6405910849571228,-15.144899368286133,1088
71500,0.003617161186411977,14300,0.6178844571113586,-20.189599990844727,1088
72000,0.0011517087696120143,14400,0.5622085332870483,-4.675868511199951,1088
72500,0.0026834404561668634,14500,0.6644927859306335,-1.9706072807312012,1088
73000,0.0022896835580468178,14600,0.6516821384429932,-0.30309486389160156,1088
73500,0.023970527574419975,14700,0.6484602093696594,-4.07696533203125,1089
74000,3.233173629269004e-05,14800,0.6507073640823364,0.911274753510952,1088
74500,0.0006522147450596094,14900,0.6582863926887512,0.6013853847980499,1089
75000,0.0004161057877354324,15000,0.6582582592964172,0.31188762187957764,1089
75500,0.0006785393343307078,15100,0.6236546039581299,0.016693294048309326,1089
76000,0.048140160739421844,15200,0.3440600037574768,0.6011711657047272,1089
76500,0.009293864481151104,15300,0.6297500729560852,-184.55450439453125,1089
77000,0.0032070986926555634,15400,0.6221321821212769,-603.2752685546875,1089
77500,0.013731688261032104,15500,0.5845949649810791,-10.331255912780762,1089
78000,0.00013389645027928054,15600,0.6417742371559143,0.7171277105808258,1089
78500,0.08888993412256241,15700,0.6183168292045593,-95.94953918457031,1089
79000,0.011549485847353935,15800,0.603009819984436,-1842.8748779296875,1089
79500,0.002746401820331812,15900,0.6598811745643616,-19.699541091918945,1089
80000,0.030168265104293823,16000,0.5663664937019348,-486.2181091308594,1089
80500,0.00011721305781975389,16100,0.6548604965209961,0.42196565866470337,1090
