value_loss,nupdates,policy_entropy,explained_variance,fps,total_timesteps
0.17649045586585999,7700,0.691456139087677,-48.11210250854492,1082,38500
0.059498656541109085,7800,0.6754956245422363,-6.867534160614014,1082,39000
0.8843045234680176,7900,0.6899008750915527,-206.08802795410156,1082,39500
0.8579913973808289,8000,0.6902929544448853,-201.0228729248047,1083,40000
0.06898213922977448,8100,0.6820921897888184,-11.080607414245605,1083,40500
0.023802729323506355,8200,0.6828259229660034,-0.7914230823516846,1083,41000
3458.170654296875,8300,0.679469883441925,0.03444528579711914,1083,41500
1680.584716796875,8400,0.6786184906959534,0.0807567834854126,1084,42000
2.538654327392578,8500,0.6833902597427368,-262.49188232421875,1084,42500
8117.0390625,8600,0.6077948808670044,0.1808241605758667,1084,43000
11.170633316040039,8700,0.6748471856117249,-108.54536437988281,1085,43500
0.5280486941337585,8800,0.6713663935661316,-103.21614837646484,1085,44000
5377.8369140625,8900,0.6925013661384583,0.0031365156173706055,1086,44500
4844.8251953125,9000,0.6030964255332947,0.10646378993988037,1086,45000
0.6150914430618286,9100,0.688626766204834,-197.8433837890625,1086,45500
0.015390140935778618,9200,0.67668616771698,-1.1597650051116943,1086,46000
0.04867992550134659,9300,0.6742627024650574,-14.431235313415527,1086,46500
0.0038312748074531555,9400,0.6869431734085083,-1.028695821762085,1086,47000
1.2951728105545044,9500,0.6892901659011841,-10.107926368713379,1086,47500
2.5408499240875244,9600,0.6175637245178223,-501.5415954589844,1086,48000
0.6539542078971863,9700,0.6861589550971985,-348.55572509765625,1086,48500
0.09007702767848969,9800,0.6928760409355164,0.1981455683708191,1086,49000
