explained_variance,value_loss,total_timesteps,fps,nupdates,policy_entropy
-11.314691543579102,0.09017284214496613,31500,1084,6300,0.5104953646659851
-11.135544776916504,0.01998775452375412,32000,1084,6400,0.6839677691459656
-87.69638061523438,1.6736907958984375,32500,1085,6500,0.6800013780593872
-123.74417877197266,2.9495346546173096,33000,1085,6600,0.40899857878685
0.04917335510253906,5225.67626953125,33500,1085,6700,0.589290201663971
-28.795455932617188,0.07962984591722488,34000,1086,6800,0.6644956469535828
0.026281774044036865,7074.89306640625,34500,1086,6900,0.48774176836013794
-3.495758533477783,0.08671693503856659,35000,1087,7000,0.6730010509490967
-31.292144775390625,0.0352315828204155,35500,1087,7100,0.633125901222229
-52.72679138183594,0.04232490807771683,36000,1088,7200,0.5406118035316467
-13.912050247192383,0.4100361764431,36500,1088,7300,0.6826767921447754
-29.67272186279297,0.008368102833628654,37000,1088,7400,0.6852710247039795
-4917.16943359375,0.008979113772511482,37500,1089,7500,0.67425936460495
-432.8544006347656,0.11796381324529648,38000,1089,7600,0.6113340258598328
-141.53245544433594,0.010390045121312141,38500,1090,7700,0.6441842913627625
-4482.7568359375,0.12331657111644745,39000,1090,7800,0.6205564737319946
-923.190185546875,0.028710398823022842,39500,1090,7900,0.6286390423774719
-1375.1290283203125,0.029512230306863785,40000,1091,8000,0.6332038044929504
-131.81651306152344,0.015281152911484241,40500,1091,8100,0.502769947052002
-188.3629913330078,0.006432159338146448,41000,1091,8200,0.6450518369674683
-330.2640380859375,0.0003600571653805673,41500,1092,8300,0.6599467992782593
-1679.4110107421875,0.06631307303905487,42000,1092,8400,0.4415103793144226
-351.0345764160156,0.011349944397807121,42500,1093,8500,0.6216897964477539
-339.8191833496094,0.003706756979227066,43000,1093,8600,0.6444422006607056
-317.4747009277344,0.008210691623389721,43500,1091,8700,0.6516202688217163
-2111.210205078125,0.025225546211004257,44000,1091,8800,0.541263222694397
-973.638916015625,0.033609963953495026,44500,1091,8900,0.6149117350578308
-141.2841033935547,0.0008377401973120868,45000,1091,9000,0.6295793056488037
-5.237954616546631,0.000532817910425365,45500,1091,9100,0.5901795625686646
-16.712623596191406,0.0007871378329582512,46000,1091,9200,0.6161462068557739
-9.590150833129883,0.0024549770168960094,46500,1091,9300,0.6409084796905518
-12.793643951416016,0.0011137468973174691,47000,1092,9400,0.6146404147148132
-26.872596740722656,0.007445614784955978,47500,1091,9500,0.5791537165641785
-4.6745123863220215,0.003912982996553183,48000,1092,9600,0.5905671119689941
0.13668686151504517,0.00017620660946704447,48500,1092,9700,0.5897278785705566
-6.9232306480407715,0.0028242033440619707,49000,1092,9800,0.4172719120979309
-3.632221221923828,0.000928979367017746,49500,1093,9900,0.6076642870903015
0.009241759777069092,1911.495849609375,50000,1093,10000,0.44299355149269104
-2.380352735519409,0.0008395948680117726,50500,1093,10100,0.5466648936271667
-2.909726142883301,0.00108476378954947,51000,1093,10200,0.5285550951957703
0.7690716981887817,0.0001431052660336718,51500,1093,10300,0.531684398651123
-6.742251873016357,0.003952434286475182,52000,1093,10400,0.5251256823539734
0.20142430067062378,0.0030644957441836596,52500,1093,10500,0.5618264079093933
-2.2116620540618896,0.005453788675367832,53000,1093,10600,0.5688064694404602
0.394253134727478,0.001456111203879118,53500,1093,10700,0.5582032203674316
0.01737731695175171,8979.275390625,54000,1093,10800,0.5139644742012024
0.4864649772644043,0.001730017946101725,54500,1093,10900,0.630315363407135
0.013620495796203613,7188.55322265625,55000,1093,11000,0.4562804102897644
-0.10778343677520752,0.001934546628035605,55500,1093,11100,0.5541002750396729
-111.55339050292969,0.026643196120858192,56000,1093,11200,0.6344737410545349
-3.4987664222717285,0.12282770872116089,56500,1094,11300,0.6595967411994934
-950.022216796875,0.26863041520118713,57000,1094,11400,0.5788717865943909
-324.97064208984375,0.006121102720499039,57500,1094,11500,0.5882924795150757
-21.143531799316406,0.013205734081566334,58000,1095,11600,0.6023651361465454
-11.383580207824707,0.024399694055318832,58500,1095,11700,0.6805547475814819
-190.42465209960938,0.08714734762907028,59000,1096,11800,0.6181646585464478
-25.790071487426758,0.03491829335689545,59500,1096,11900,0.625133216381073
-31971.806640625,0.03436277061700821,60000,1096,12000,0.5551469922065735
-1.3238310813903809,0.0033363576512783766,60500,1097,12100,0.68695068359375
-19.32682228088379,0.036764346063137054,61000,1097,12200,0.6873108148574829
-19.61501693725586,0.07342763245105743,61500,1097,12300,0.6658409237861633
-3.326218605041504,0.06595341861248016,62000,1097,12400,0.6761658787727356
-10.57554817199707,0.24005350470542908,62500,1098,12500,0.6814625859260559
