policy_entropy,value_loss,explained_variance,total_timesteps,fps,nupdates
0.6920467615127563,0.06456311792135239,-22.34231948852539,46500,1089,9300
0.6088132262229919,8471.5390625,0.12223917245864868,47000,1089,9400
0.6867638826370239,0.17766085267066956,-42.74798583984375,47500,1089,9500
0.6558105945587158,1.9339631795883179,-11.171651840209961,48000,1089,9600
0.6908933520317078,2.0729057788848877,-35.313621520996094,48500,1089,9700
0.6916756629943848,0.01803269423544407,-0.24362969398498535,49000,1089,9800
0.6887866258621216,1.7290254831314087,-179.15658569335938,49500,1090,9900
0.6815276145935059,1791.927490234375,0.021798133850097656,50000,1090,10000
0.6752632856369019,0.33766406774520874,-27.05929183959961,50500,1090,10100
0.6877321600914001,0.011819684877991676,0.43395763635635376,51000,1090,10200
0.6922693252563477,0.03656774386763573,-7.425115585327148,51500,1090,10300
0.6109408140182495,0.29856744408607483,-82.62199401855469,52000,1090,10400
0.660868763923645,0.15463021397590637,-35.40354537963867,52500,1090,10500
0.6502584218978882,0.030634934082627296,-2.576760768890381,53000,1091,10600
0.6915440559387207,0.005704926792532206,-0.9142463207244873,53500,1091,10700
0.6619749069213867,2.652822971343994,-13.840696334838867,54000,1091,10800
0.6377447843551636,0.13328006863594055,-29.940340042114258,54500,1091,10900
0.691554605960846,0.24862635135650635,-0.6031395196914673,55000,1091,11000
0.6872791647911072,1.7915006875991821,-11.31943130493164,55500,1090,11100
0.683441162109375,0.1853291243314743,-69.09392547607422,56000,1090,11200
0.541176974773407,1.1746888160705566,-198.80136108398438,56500,1090,11300
0.5981446504592896,0.8079026341438293,-116.02720642089844,57000,1090,11400
0.6893503069877625,0.2136945277452469,-29.097227096557617,57500,1090,11500
0.6906811594963074,0.01540573500096798,-4.240318298339844,58000,1090,11600
0.6840922236442566,0.013504564762115479,-0.29268884658813477,58500,1091,11700
0.677507758140564,1.26117742061615,-238.30699157714844,59000,1091,11800
0.6472157835960388,0.19764499366283417,-80.30596923828125,59500,1091,11900
0.6452867984771729,0.32107049226760864,-104.07239532470703,60000,1091,12000
0.669889509677887,0.0023884233087301254,-0.7030010223388672,60500,1091,12100
0.5467459559440613,4.466143608093262,-247.7052459716797,61000,1091,12200
0.6500160098075867,0.4508252739906311,-70.61438751220703,61500,1091,12300
0.6906353831291199,0.013086333870887756,-1.2107634544372559,62000,1092,12400
0.6805060505867004,0.22571976482868195,-57.72258377075195,62500,1092,12500
0.6575945615768433,0.10391680151224136,-65.90963745117188,63000,1092,12600
0.6875292062759399,0.01415896974503994,-1.6763455867767334,63500,1092,12700
0.5558136105537415,0.40460091829299927,-77.551513671875,64000,1092,12800
0.6875684857368469,0.04410913959145546,-12.60619831085205,64500,1093,12900
0.6782866716384888,0.7836032509803772,-8.62934398651123,65000,1093,13000
0.6552123427391052,0.5745344758033752,-82.79264068603516,65500,1094,13100
0.6351334452629089,0.3674957752227783,-61.97564697265625,66000,1094,13200
0.6880021095275879,0.02725193463265896,-13.34425163269043,66500,1094,13300
0.6722331047058105,0.09310971945524216,-85.55572509765625,67000,1094,13400
0.6904107332229614,0.053367115557193756,-29.63585090637207,67500,1094,13500
0.6899024248123169,0.008398630656301975,-13.678563117980957,68000,1094,13600
0.6828967928886414,0.4544455409049988,-222.64230346679688,68500,1095,13700
0.6661619544029236,0.07471172511577606,-51.21820068359375,69000,1095,13800
0.6365088224411011,0.22703921794891357,-98.15655517578125,69500,1095,13900
0.6900602579116821,0.002368966583162546,-1.711198091506958,70000,1095,14000
0.5908790826797485,0.25988274812698364,-106.09234619140625,70500,1096,14100
0.5756060481071472,1.5497291088104248,-198.39822387695312,71000,1096,14200
0.6804373860359192,0.2164084017276764,-146.86683654785156,71500,1096,14300
0.6811388731002808,0.06515613198280334,-2.1891562938690186,72000,1096,14400
0.6923862099647522,0.006253835745155811,-1.8228297233581543,72500,1096,14500
0.6839239001274109,0.14935091137886047,-60.889713287353516,73000,1096,14600
0.644415557384491,0.5504640340805054,-405.4775695800781,73500,1097,14700
0.6847989559173584,5.107064247131348,-35.99828338623047,74000,1096,14800
0.5916231274604797,20.053668975830078,-44.340457916259766,74500,1097,14900
