nupdates,policy_entropy,total_timesteps,explained_variance,fps,value_loss
5500,0.5282477140426636,27500,-27.850236892700195,1078,0.017493566498160362
5600,0.6224433183670044,28000,-26.26889419555664,1078,0.027165010571479797
5700,0.5406142473220825,28500,-2.7224462032318115,1079,0.0009956690482795238
5800,0.47783464193344116,29000,-1.1309983730316162,1080,0.0021465534809976816
5900,0.5624081492424011,29500,-20.1729679107666,1081,0.005768524017184973
6000,0.5741860270500183,30000,-0.0037555694580078125,1081,9315.447265625
6100,0.5781973004341125,30500,-14.532244682312012,1082,0.0011695626890286803
6200,0.6353864669799805,31000,-0.14164435863494873,1083,0.00010763681348180398
6300,0.6120932102203369,31500,-332.8047790527344,1083,0.00852961279451847
6400,0.5271741151809692,32000,-34.3941764831543,1083,0.007493445184081793
6500,0.5234735608100891,32500,-13.032333374023438,1084,0.008106380701065063
6600,0.6104581952095032,33000,-21.396968841552734,1085,0.002549311611801386
6700,0.5597163438796997,33500,-1.1737987995147705,1086,0.0005952856736257672
6800,0.5892513394355774,34000,-29.041425704956055,1086,0.0018558960873633623
6900,0.5570381283760071,34500,-1.0879216194152832,1087,0.00019243582210037857
7000,0.39387163519859314,35000,-1.367339849472046,1086,0.00201637065038085
7100,0.5895123481750488,35500,-22.731138229370117,1087,0.006873132195323706
7200,0.5654619336128235,36000,-8.589398384094238,1087,0.001317975576967001
7300,0.49080753326416016,36500,-6.804286003112793,1088,0.0027084180619567633
7400,0.5514105558395386,37000,-12.543807983398438,1089,0.0014018520014360547
7500,0.4386506676673889,37500,-7.2804718017578125,1090,0.0021876515820622444
7600,0.6293519735336304,38000,-1.7992393970489502,1090,0.0014628421049565077
7700,0.5854668021202087,38500,-1.962716817855835,1090,0.0005845740088261664
7800,0.6026889681816101,39000,-2.217531442642212,1090,0.00040038739098235965
7900,0.5772602558135986,39500,-0.42786407470703125,1091,0.003163845743983984
8000,0.5878727436065674,40000,-0.16012394428253174,1092,0.0002812892780639231
8100,0.480874240398407,40500,0.0032985806465148926,1092,3819.288330078125
8200,0.5508297681808472,41000,-69.34233093261719,1092,0.007417949382215738
8300,0.4808899760246277,41500,-2.20324444770813,1093,0.0006165409577079117
8400,0.6046401262283325,42000,-6.650385856628418,1094,0.00031294088694266975
8500,0.5419673323631287,42500,-4.6768975257873535,1094,0.0011907207081094384
8600,0.5891890525817871,43000,-0.05709385871887207,1094,0.00012662398512475193
8700,0.5843020677566528,43500,-1.7416973114013672,1095,0.00035433072480373085
8800,0.21045057475566864,44000,-34.13612747192383,1095,0.010878873988986015
8900,0.618017315864563,44500,0.6656008064746857,1095,0.00010857558663701639
9000,0.586724042892456,45000,-0.5920706987380981,1096,0.0005593310343101621
9100,0.5165544152259827,45500,0.7199287414550781,1096,0.0014805872924625874
9200,0.6241365075111389,46000,-11.410749435424805,1096,0.0019756515976041555
9300,0.5824751257896423,46500,0.541862428188324,1097,0.0002703300560824573
9400,0.5395923852920532,47000,-3.2849555015563965,1096,0.005796737968921661
9500,0.5430136919021606,47500,-15.244241714477539,1096,0.0122761819511652
9600,0.33052000403404236,48000,-25.329532623291016,1096,0.12696528434753418
9700,0.5727927684783936,48500,0.027433037757873535,1096,1870.578125
9800,0.6510310173034668,49000,-94.7048110961914,1096,0.04315323010087013
9900,0.6210950613021851,49500,0.5517264604568481,1096,0.0012281399685889482
10000,0.5887242555618286,50000,-4.557206630706787,1097,0.0013901075581088662
10100,0.6371567845344543,50500,-1.7916936874389648,1097,0.0014567994512617588
10200,0.5889522433280945,51000,-154.02740478515625,1097,0.006198623217642307
10300,0.568190336227417,51500,-44.46380615234375,1098,0.0032223917078226805
10400,0.6004279255867004,52000,-27.076507568359375,1098,0.0026625250466167927
10500,0.5903439521789551,52500,-2.9401562213897705,1098,0.0003859769203700125
10600,0.6110493540763855,53000,-0.888485312461853,1097,6.227629637578502e-05
10700,0.5882856249809265,53500,0.00950169563293457,1098,1919.6419677734375
10800,0.5969297289848328,54000,-1.7576580047607422,1098,0.0007839074241928756
10900,0.6345241665840149,54500,0.012002706527709961,1098,3792.060546875
11000,0.6183319091796875,55000,-5.448017597198486,1098,0.0011607673950493336
11100,0.5940292477607727,55500,-11.049609184265137,1098,0.004250512458384037
11200,0.637539803981781,56000,0.6177061498165131,1098,5.155786493560299e-05
