entloss,EpThisIter,optimgain,surrgain,ev_tdlam_before,EpLenMean,entropy,TimeElapsed,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl
0.0,7,0.041474983,0.041474983,0.06713986396789551,143.4,0.49682325,35.108548164367676,641,63419,143.4,0.052010156
0.0,6,0.0316664,0.0316664,0.20783907175064087,149.65,0.51630914,35.687398195266724,647,64377,149.65,0.040953793
0.0,6,0.011266805,0.011266805,0.050203800201416016,158.25,0.5187925,36.257131576538086,653,65491,158.25,0.056576286
0.0,14,0.017847607,0.017847607,-0.0139845609664917,140.325,0.5465816,36.82247471809387,667,66530,140.325,0.020612407
0.0,20,0.05107408,0.05107408,-0.01809704303741455,78.15,0.53976625,37.33671474456787,687,67503,78.15,0.06331095
0.0,17,0.01846293,0.01846293,0.04760187864303589,58.2,0.49464846,37.89555525779724,704,68570,58.2,0.12749383
0.0,20,0.02127121,0.02127121,-0.06512939929962158,55.85,0.49634138,38.473788261413574,724,69622,55.85,0.06328009
0.0,20,0.04135604,0.04135604,-0.22072958946228027,51.925,0.47636378,39.004241943359375,744,70647,51.925,0.060124174
0.0,14,0.030592844,0.030592844,0.013160526752471924,58.5,0.46138424,39.55809569358826,758,71652,58.5,0.047736153
0.0,8,0.037095465,0.037095465,-0.17548716068267822,72.275,0.49783808,40.06140351295471,766,72619,72.275,0.031471208
0.0,8,0.047080226,0.047080226,-0.03504312038421631,86.65,0.50406027,40.56677031517029,774,73604,86.65,0.07153539
0.0,10,0.06711046,0.06711046,0.04077327251434326,101.5,0.46698597,41.06815505027771,784,74707,101.5,0.08645977
0.0,7,0.050590757,0.050590757,-0.015439271926879883,114.8,0.46255434,41.58395576477051,791,75703,114.8,0.09426136
0.0,7,0.02005902,0.02005902,0.04499542713165283,125.45,0.4788252,42.10337042808533,798,76670,125.45,0.047762636
0.0,9,0.024662815,0.024662815,0.1418694257736206,123.2,0.48533344,42.67979097366333,807,77705,123.2,0.10230268
0.0,44,0.02828883,0.02828883,0.12355297803878784,23.45,0.5715873,43.22375249862671,851,78838,23.45,0.03521184
0.0,27,0.035904326,0.035904326,0.12809616327285767,30.725,0.5275943,43.741976737976074,878,79785,30.725,0.029869601
0.0,8,0.07389322,0.07389322,0.04017144441604614,48.95,0.48218122,44.31338548660278,886,80741,48.95,0.14943217
0.0,12,0.050715733,0.050715733,0.1824946403503418,72.15,0.4068639,44.8479220867157,898,81896,72.15,0.09958182
0.0,9,0.04565284,0.04565284,0.16283857822418213,89.425,0.4465128,45.353638887405396,907,82869,89.425,0.057243936
0.0,8,0.02113185,0.02113185,0.23681193590164185,105.825,0.49563652,45.90963935852051,915,83953,105.825,0.050172187
0.0,17,0.047093794,0.047093794,0.15145188570022583,88.1,0.4462408,46.48500084877014,932,84941,88.1,0.034538966
0.0,7,0.02700316,0.02700316,0.2993711829185486,98.775,0.46117437,47.02728271484375,939,85940,98.775,0.04658231
0.0,8,0.057441488,0.057441488,0.20374369621276855,104.075,0.413409,47.55809450149536,947,87032,104.075,0.116769105
0.0,5,0.027594507,0.027594507,0.3129119873046875,110.525,0.50000477,48.10785150527954,952,87978,110.525,0.08841011
0.0,10,0.06193989,0.06193989,0.18622303009033203,117.675,0.48639083,48.61988568305969,962,89028,117.675,0.08014047
0.0,5,0.032786164,0.032786164,0.3587403893470764,133.325,0.4880926,49.18528199195862,967,89918,133.325,0.038234234
0.0,10,0.06159284,0.06159284,0.29238033294677734,133.975,0.3641265,49.69914484024048,977,91050,133.975,0.096030265
0.0,5,0.04264298,0.04264298,0.39728283882141113,142.175,0.5332073,50.27985429763794,982,92050,142.175,0.13650608
0.0,7,0.04434324,0.04434324,0.2174038290977478,140.675,0.44183803,50.86679792404175,989,93033,140.675,0.07609032
0.0,9,0.038316555,0.038316555,0.06094348430633545,136.25,0.47469282,51.48024868965149,998,94022,136.25,0.026149781
0.0,8,0.030402085,0.030402085,0.16745924949645996,135.55,0.39835286,52.05627679824829,1006,95171,135.55,0.05303762
0.0,6,0.041611806,0.041611806,0.15547847747802734,140.775,0.39890066,52.57827043533325,1012,96222,140.775,0.10566127
0.0,6,0.012757464,0.012757464,0.26546043157577515,150.225,0.43719673,53.172816038131714,1018,97259,150.225,0.02859974
0.0,5,0.03872054,0.03872054,0.34587955474853516,151.575,0.4799055,53.75312399864197,1023,98259,151.575,0.074736334
0.0,5,0.019452795,0.019452795,0.3111202120780945,158.45,0.4594687,54.30444407463074,1028,99259,158.45,0.03939476
0.0,5,0.036046688,0.036046688,0.4055171012878418,169.55,0.43735486,54.88561272621155,1033,100259,169.55,0.09994939
